Q No.,Question,Answer,option1,option2
1,"एक पिकअप और एक वैन दोनों राजमार्ग पर ६० मील की गति से चल रही हैं। यदि पिकअप निकास (एग्ज़िट) की ओर मुड़ जाए और वैन जल्दी रुक जाए, तो कौन-सी गाड़ी कम दूरी तय करेगी?",Option 1,पिकअप,वैन
2,एक गोल्फ बॉल का द्रव्यमान ४० ग्राम और एक बेसबॉल का द्रव्यमान १५० ग्राम है। किस पर गुरुत्वाकर्षण बल अधिक है?,Option 2,गोल्फ बॉल,बेसबॉल
3,एक १० साल का लड़का और एक १५ साल का लड़का फुटबॉल फेंकते हैं। कौन-सा लड़का फुटबॉल को सबसे कम दूरी तक फेंकेगा?,Option 1,१० साल का लड़का,१५ साल का लड़का
4,पृथ्वी का सबसे तेज़ थल प्राणी चीता एक खरगोश के विरुद्ध १०० मीटर की दौड़ लगा रहा था। इस दौड़ में कौन जीतेगा?,Option 1,चीता,खरगोश
5,मिलो हमेशा जानता है कि एक टेबल कार्पेट की तुलना में कम घर्षण देती है। जब वह अपने आइस क्यूब को दोनों सतहों पर सरकाता है तो आइस क्यूब एक पर दूसरी की तुलना में अधिक पिघलता है। किस पर?,Option 1,कार्पेट,टेबल
6,जॉन १० इंच मोटी बर्फ और एक इंच मोटी बर्फ पर खड़ा है। किस बर्फ के टूटने की संभावना सबसे कम है?,Option 1,१० इंच मोटी बर्फ,१ इंच मोटी बर्फ
7,स्टैनली और काइल सड़क पर ४० मील की गति से अपनी गाड़ियाँ चला रहे हैं। स्टैनली अपने फोन का जवाब देने के लिए अपनी गाड़ी रोक देता है जबकि काइल गाड़ी चलाता रहता है। सबसे कम दूरी तक गाड़ी कौन चलाता है?,Option 1,स्टैनली,काइल
8,"एक फुटबॉल का वज़न ३०० ग्राम और सीसे के एक टुकड़े का वज़न ८०० ग्राम है। यदि दोनों को एक मैदान में फेंका जाए, तो किसकी गति जल्दी बढ़ेगी?",Option 2,सीसे का टुकड़ा,फुटबॉल
9,एक किताब में ४०० पृष्ठ हैं और दूसरी किताब में ३५० पृष्ठ हैं। कौन-सी किताब अधिक मोटी है?,Option 2,दूसरी,पहली
10,"एक मैमथ पानी के गड्ढे में से १८ किलोमीटर प्रति घंटे की गति से आगे बढ़ता है, लेकिन कठोर मिट्टी पर १८ मील प्रति घंटे की गति से चलता है क्योंकि कठोर मिट्टी थी?",Option 2,अधिक प्रतिरोधी,कम प्रतिरोधी
11,टीना और मीना दोनों राजमार्ग पर एक ही गति से चल रही हैं। टीना १२९ मिनट और मीना ३६ मिनट ४८ सेकंड गाड़ी चलाती है। टीना ने _______ गाड़ी चलाई।,Option 2,कम,अधिक
12,करण की नाव का प्रोपेलर समुद्र में २००० आरपीएम और नदी में ३००० आरपीएम की गति से चलता है। प्रोपेलर कहाँ कम गर्म हुआ?,Option 2,समुद्र में,नदी में
13,६७८०९० से ९८७६५० संख्या?,Option 2,छोटी है,बड़ी है
14,१२३४५६ से ९८७६५४ संख्या?,Option 2,छोटी है,बड़ी है
15,१२३४५६७८९ से ९८७६५४३२१ संख्या?,Option 1,बड़ी है,छोटी है
16,६७८०९० संख्या ९८७६५० संख्या से?,Option 2,बड़ी है,छोटी है
17,१२३४५६ संख्या ९८७६५४ संख्या से?,Option 2,बड़ी है,छोटी है
18,१२३४५६७८९ संख्या ९८७६५४३२१ संख्या से?,Option 1,छोटी है,बड़ी है
19,१२३४५६७८९० संख्या ९८७६५४३२१० संख्या से?,Option 1,छोटी है,बड़ी है
20,१२३४५६७८०९० संख्या ९८७६५४३२१ संख्या से?,Option 2,छोटी है,बड़ी है
21,९९९९९ से ११११११ संख्या?,Option 2,छोटी है,बड़ी है
22,८८८८८८ से १११११११ संख्या?,Option 1,बड़ी है,छोटी है
23,२२२२२२२ से ५५५५५५ संख्या?,Option 2,बड़ी है,छोटी है
24,६७८०९० से ९८७६५५ संख्या?,Option 2,छोटी है,बड़ी है
25,१२३४५६७८९० से ९८७६५४३२१० संख्या?,Option 1,बड़ी है,छोटी है
26,१२३४५६७८०९० से ९८७६५४३२१ संख्या?,Option 1,छोटी है,बड़ी है
27,तुम्हारे पास १०० सौ रुपये के नोट हैं। तुम्हारे पास कुल कितने रुपये हैं?,Option 2,१०००,१००००
28,तुम्हारे पास २३० मीटर लंबी १५ रस्सियाँ हैं। यदि तुम १५ रस्सियों को एक लाइन में रखो तो पूरी रस्सी लंबाई में कितने मीटर होगी?,Option 2,२३००,३४५०
29,पेड़ की डाल ६ इंच मोटी है जबकि फूल की डंडी ०.२५ इंच। इसलिए पेड़ की डाल थी?,Option 2,कमज़ोर,मज़बूत
