Q No.,Question,Answer,option1,option2
210,रजनी ने देखा कि मटर जैसे कंकड़ों पर लुढ़कती पेंसिल ७६ जूल ऊष्मा उत्पन्न करती है और कार्पेट पर लुढ़काने पर २५ कैलोरी ऊष्मा उत्पन्न करती है। पेंसिल कहाँ धीमी गति से चली?,Option 1,कार्पेट,मटर जैसे कंकड़
281,डिलन खिड़की से बाहर एक कंकड़ (जिसका द्रव्यमान ०.२ किलो है) और एक खिलौना बास्केटबॉल (जिसका द्रव्यमान १०० ग्राम है) फेंकता है। _____ पर अधिक शक्तिशाली गुरुत्वाकर्षण खिंचाव था क्योंकि उसका द्रव्यमान अधिक है?,Option 1,कंकड़,बास्केटबॉल
34,मेरे घर से २०० फुट की दूरी से पुलिस का सायरन मेरे घर से १७५ फुट की दूरी पर चले जाने से सायरन की आवाज़?,Option 1,बढ़ गई,कम हो गई
211,लिसा दो मॉडल रॉकेटों से खेल रही थी। उसने एक ही समय पर दोनों रॉकेट आकाश में छोड़े तो ३० सेकंड बाद काला रॉकेट ज़मीन से ४५ मीटर ऊपर और लाल रॉकेट ज़मीन से ३१ मीटर ऊपर था। किसकी गति अधिक थी?,Option 2,लाल वाले की,काले वाले की
94,जोश ने देखा कि अपनी भतीजी (वज़न ४५ पाउंड) को उठाना उसके बेटे (वज़न ६० पाउंड) की तुलना में कठिन है। उसकी भतीजी पर _____ गुरुत्वाकर्षण खिंचाव है?,Option 2,अधिक,कम
85,टिम की अँगूठी मैदान पर ४.५ सेंटीमीटर और उसके फर्श पर १.२ सेंटीमीटर लुढ़कती है। टिम का _____ अधिक चिकना है।,Option 2,फर्श,मैदान
330,मैं एक गाड़ी में ५६ मी/से की गति से और एक साइकिल पर १२ मी/से की गति से यात्रा कर सकता हूँ। कौन-सा धीमा है?,Option 1,साइकिल,गाड़ी
95,"टेड पार्क में अपनी बाइक चला रहा था। जब वह सीमेंट के रास्ते पर था, तब वह ५० सेकंड में पार्क का चक्कर लगा सका और घास पर उसे ४ मिनट लगे। बाइक कहाँ अधिक गर्म होगी?",Option 2,सीमेंट के रास्ते पर,घास पर
267,"केट सिनेमा में है और गलती से अपना कप फर्श पर गिरा देती है। कप कंक्रीट के फर्श पर ३ सेकंड में लुढ़कता है जो २५ सेंटीमीटर लंबा है, लेकिन कार्पेट वाले फर्श से टकराने के बाद वह ३ सेकंड में ०.१८ मीटर जाता है। कप कंक्रीट के फर्श पर तेज़ था क्योंकि कंक्रीट के फर्श पर था?",Option 2,अधिक घर्षण,कम घर्षण
127,"यदि एक कार और एक पिकअप दोनों ६० मील की गति से यात्रा करें, लेकिन कार १.३ घंटे बाद रुक जाए जबकि पिकअप १८६ मिनट बाद रुके, तो किसने कम दूरी तय की?",Option 1,कार,पिकअप
10,"एक मैमथ पानी के गड्ढे में से १८ किलोमीटर प्रति घंटे की गति से आगे बढ़ता है, लेकिन कठोर मिट्टी पर १८ मील प्रति घंटे की गति से चलता है क्योंकि कठोर मिट्टी थी?",Option 2,अधिक प्रतिरोधी,कम प्रतिरोधी
362,"इयान और एवरी एक ही स्टेशन से ट्रेन पकड़ रहे हैं। इयान की ट्रेन लाल है, और चालीस मील दूर एक गंतव्य की ओर ३९ किमी प्रति घंटे की गति से जा रही है। एवरी की ट्रेन हरी है और चालीस मील दूर एक गंतव्य की ओर २३ किमी प्रति घंटे की गति से जा रही है। कौन-सी ट्रेन धीमी है?",Option 2,लाल,हरी
57,मार्कस का बेटा पूल टेबल से पूल बॉल लेकर घर के चारों ओर खेलने चला गया। लड़के ने देखा कि पूल बॉल संगमरमर के फर्श पर १८० सेंटीमीटर और रेत पर २७ सेंटीमीटर की दूरी तय करती है। कौन-सी सतह अधिक चिकनी है?,Option 1,संगमरमर का फर्श,रेत
73,एलियट देखता है कि वह एक हैंडकार्ट को सीमेंट पर १९ मी/सेकंड और कार्पेट पर २३ मी/सेकंड की गति से धकेल सकता है। हैंडकार्ट कहाँ अधिक गर्मी उत्पन्न करेगा?,Option 2,कार्पेट पर,सीमेंट पर
133,जिम एक ट्रक और एक कार दोनों का मालिक है। ट्रक का वज़न कार से १३०२५ किलो अधिक है। गैस पैडल दबाने पर कौन-सी गाड़ी अधिक तेज़ी से त्वरित होगी?,Option 2,ट्रक,कार
43,अंजना ने स्कूल में हस्तकला दिखाकर ५० में से २५ नंबर पाए। लेकिन अनिल के स्कूल में अनिल ने हस्तकला में २५ में से १० नंबर पाए। हिसाब करते हैं कि किसने अधिक भाग नंबर पाए।,Option 1,अंजना,अनिल
279,रॉड अपने कुत्ते की ओर एक गेंद लुढ़का रहा था। वह सीमेंट पर ५ मीटर की दूरी तक और घास पर २ मीटर की दूरी तक गेंद लुढ़का सका। तो क्या सीमेंट है?,Option 2,खुरदरा,चिकना
377,जिम सर्वर से १०० किमी दूर रहता है। रजनी सर्वर से ९७०० मील दूर रहती है। दोनों की इंटरनेट स्पीड एक ही है। किसका पिंग अधिक होगा?,Option 2,जिम,रजनी
232,शेप और क्रिस एक ही सड़क पर गाड़ी चला रहे हैं और एक ही गति से जा रहे हैं। लेकिन शेप ने १२० सेकंड यात्रा की है और क्रिस ने १ मिनट यात्रा की है। फलस्वरूप?,Option 1,शेप ने क्रिस से अधिक यात्रा की है,शेप ने क्रिस से अधिक यात्रा नहीं की है
386,"तालाब में कछुए की तैरने की गति १२ मीटर/सेकंड है, जबकि समुद्र में २.८ मीटर/सेकंड, क्योंकि _____ अधिक चिकना है?",Option 1,तालाब,महासागर
78,"गाड़ी चलाते हुए, मेरी को पता चला कि जंगल का घर्षण गुणांक ०.८ है, जबकि सड़क का गुणांक ०.४ है। वह अपनी गाड़ी किस पर तेज़ चला सकती है?",Option 2,जंगल में,सड़क पर
16,६७८०९० संख्या ९८७६५० संख्या से?,Option 2,बड़ी है,छोटी है
392,"यदि एक कार और एक पिकअप दोनों ६० मील की गति से यात्रा करें, लेकिन कार २ घंटे बाद रुके जबकि पिकअप ६ घंटे बाद रुके, तो किसने कम दूरी तय की?",Option 1,कार,पिकअप
272,"मिट्टी पर लुढ़कता एक कंचा रेत की तुलना में ५ न्यूटन का प्रतिरोध उत्पन्न करता है, रेत पर यह ७३ न्यूटन का प्रतिरोध उत्पन्न करता है। कंचा कहाँ अधिक जा सकेगा?",Option 1,रेत,मिट्टी
1,"एक पिकअप और एक वैन दोनों राजमार्ग पर ६० मील की गति से चल रही हैं। यदि पिकअप निकास (एग्ज़िट) की ओर मुड़ जाए और वैन जल्दी रुक जाए, तो कौन-सी गाड़ी कम दूरी तय करेगी?",Option 1,पिकअप,वैन
397,"मैमथ पानी के गड्ढे में से ३ किमी प्रति घंटे की गति से चला, लेकिन कठोर मिट्टी पर ९ किमी प्रति घंटे की गति से चला क्योंकि कठोर मिट्टी थी?",Option 1,कम प्रतिरोधी,अधिक प्रतिरोधी
115,एक छोटे लड़के ने हॉलवे में अपनी दो रबर की गेंदें लुढ़काईं। लाल गेंद ७० सेकंड बाद रुकी। नीली गेंद २ मिनट ३४ सेकंड बाद रुकी। कौन-सी अधिक दूर गई?,Option 2,लाल गेंद,नीली गेंद
226,"इयान और एवरी एक ही स्टेशन से ट्रेन पकड़ रहे हैं। इयान की ट्रेन लाल है, और चालीस मील दूर एक गंतव्य की ओर ८ मील प्रति घंटे की गति से जा रही है। एवरी की ट्रेन हरी है और चालीस मील दूर एक गंतव्य की ओर १४ मील प्रति घंटे की गति से जा रही है। कौन-सी ट्रेन धीमी है?",Option 1,लाल,हरी
263,खाली सीमेंट ट्रक का वज़न लगभग ८००० पाउंड है। बाद में ट्रक में ५ किलो वज़न के ५ बैग सीमेंट रखे गए। जब वह सीमेंट के बैगों के बिना चल रहा था तब वह अधिक _____ चलता था?,Option 1,तेज़,धीमा
105,जिम ४६ मीटर/सेकंड की गति से दौड़ सकता था और उसकी बहन जेन ५२ मी/सेकंड की गति से दौड़ सकती थी। एक खतरनाक वायरस का फैलाव रोकने के लिए उन्हें अगले शहर में कुछ ज़रूरी वैक्सीन पहुँचानी थी। कम समय में वहाँ पहुँचने के लिए वैक्सीन लेकर किसे जाना चाहिए?,Option 2,जिम,जेन
396,"टेरी अपनी साइकिल यात्रा पर ले जाता है, पहले १ सेकंड में ७ मीटर घास के मैदान में से, फिर २ सेकंड में १२ मीटर की पक्की सड़क। पक्की सड़क थी?",Option 1,अधिक प्रतिरोधी,कम प्रतिरोधी
194,एक ट्रेन शहर के ट्रैक पर १२० किमी/घंटा और गाँव के ट्रैक पर ९८ किमी/घंटा की गति से चलती है। इसका मतलब ट्रेन चलने में कहाँ अधिक गर्म होती है?,Option 2,शहर का ट्रैक,गाँव का ट्रैक
262,"यदि सारा और जेनी दोनों एक ही गति से दौड़ें, सारा ७८ मिनट दौड़ती है और जेनी सारा से २७ मिनट कम दौड़ती है, तो किसने अधिक दूर यात्रा की?",Option 1,सारा,जेनी
58,रेंजर और रसलर दोनों ऐसे घोड़ों पर सवार थे जो एक ही गति से दौड़ रहे थे। रसलर ०२:०० बजे निकला जबकि रेंजर ०१:०० बजे निकला। किसने अधिक यात्रा की?,Option 1,रेंजर,रसलर
233,एक छोटे लड़के ने हॉलवे में अपनी दो रबर की गेंदें लुढ़काईं। लाल गेंद ८ सेकंड बाद रुकी। नीली गेंद ९ सेकंड बाद रुकी। कौन-सी अधिक दूर गई?,Option 2,लाल गेंद,नीली गेंद
117,यदि एक स्केटर एक मैदान में २३ मी/से की गति से और एक स्केट पार्क में १७ मी/से की गति से चलता है तो इसका मतलब है कि _____ अधिक चिकना है?,Option 2,स्केट पार्क,मैदान
114,"एक स्लेज एक छत पर २२.९६५९ गज़ और ठंडी ज़मीन पर १५ मीटर सरकी, दोनों सतहों पर एक ही गति से शुरू होकर। इसका मतलब _____ अधिक खुरदरी है?",Option 2,छत,ठंडी ज़मीन
343,एक बॉलिंग बॉल का द्रव्यमान १९ पाउंड और एक बेसबॉल का वज़न ६ पाउंड है। किसमें अधिक शक्तिशाली गुरुत्वाकर्षण है?,Option 2,बेसबॉल,बॉलिंग बॉल
159,बॉब ने यूएसपीएस के माध्यम से एक पैकेज और यूपीएस के माध्यम से एक पैकेज भेजा। जो पैकेज उसने यूपीएस के माध्यम से भेजा वह ४ दिनों में पहुँचा और यूएसपीएस के माध्यम से २ सप्ताह में पहुँचा। कौन-सी पार्सल सेवा धीमी थी?,Option 1,यूएसपीएस धीमी थी,यूपीएस धीमी थी
