Q No.,Question,Answer
1,"লামিয়ার চুল ৮ ইঞ্চি লম্বা। সে যদি ৩ ইঞ্চি কেটে ফেলে, তাহলে তার চুল কত লম্বা হবে?",৫
2,রায়হানের মা ২১ টি পিঠা তৈরি করেছেন। করিমের বাবা ৯ টি  খেয়েছেন। কয়টা কুকি বাকি আছে?,১২
3,"একটি সিনেমা থিয়েটার প্রাপ্তবয়স্কদের জন্য ৭.৫০ টাকা এবং শিশুদের জন্য ৪.৫০ টাকা চার্জ করে। একটি সিনেমা দেখানোর রসিদ ছিল ৫৪০ টাকা। যদি ৮০  টি টিকিট বিক্রি হয়, তাহলে কতটি প্রাপ্তবয়স্ক টিকিট বিক্রি হয়েছে তা খুঁজে বের করুন।",৬০
4,"দুটি সংখ্যার যোগফল ১৮। যদি ছোট সংখ্যাটির দ্বিগুণ বড়টির চেয়ে ৬ বেশি হয়, তাহলে ছোট সংখ্যাটি নির্ণয় করুন।",৮
5,মেলিসার ৮৮ টি কলা আছে। জোশুয়া মেলিসার সাথে আর ৪ টি শেয়ার করেছেন। মেলিসার কতটি কলা থাকবে।,৯২
6,ছোট সংখ্যাটি খুঁজুন যার যোগফল ১৪৭ এবং একটি অন্যটির ০.৩৭৫ গুন থেকে ৪ বড়।,৪৩
7," একটি সংখ্যা  অন্যটির দ্বিগুণের চেয়ে ৯ কম, এবং তাদের যোগফল ৪২। বড় সংখ্যাটি কত।",২৫
8,"দুটি সংখ্যার যোগফল ১৮। যদি ছোট সংখ্যাটির দ্বিগুণ বড়টির চেয়ে ৬ বেশি হয়, তাহলে ছোট সংখ্যা এবং বড় সংখ্যাটি নির্ণয় করুন।",৮
9,"দুইটি সংখ্যার মধ্যে একটি অন্যটির তিনগুণ। তাদের যোগফল ১২৪ হলে, বড় সংখ্যাটি কত।",৯৩
10,"একটি পূর্ণসংখ্যা অন্যটির দ্বিগুণ, এবং তাদের যোগফল হল ৯৬। বড় পূর্ণসংখ্যাটি খুঁজুন।",৬৪
11,"এই বছর একটি গাড়ির মূল্য ১৬০০০ ডলার, যা গত বছরের মূল্যের ০.৮ গুন। গত বছরের গাড়ির মূল্য কত।",২০০০০
12,"ধরুন আপনি ১০০০০ ডলার বিনিয়োগ করেছেন, কিছু অংশ ৬% বার্ষিক সুদে এবং বাকিটা ৯% বার্ষিক সুদে। আপনি যদি এক বছর পর ৬৮৪ ডলার সুদে পেয়ে থাকেন, তাহলে আপনি ৬% বার্ষিক সুদে কত টাকা বিনিয়োগ করেছেন?",৭২০০
13,৫ এবং একটি সংখ্যার যোগফল ২০। সংখ্যাটি নির্ণয় কর।,১৫
14,অ্যাডাম বিড়ালের খাবারের ৯ প্যাকেজ কিনেছিলেন যাতে প্রতিটিতে ১০ টি ক্যান ছিল। এছাড়াও তিনি কুকুরের খাবারের ৭ প্যাকেজ কিনেছেন যার প্রতিটির ভিতরে ৫ টি ক্যান রয়েছে। সব মিলিয়ে কত ক্যান পোষা খাবার আছে তার।,১২৫
15,"একটি বিমান দুটি পৃথক উইং ট্যাঙ্কে সঞ্চিত মোট ৩৬ গ্যালন জ্বালানি নিয়ে একটি ফ্লাইট শুরু করে। ফ্লাইটের সময়, একটি ট্যাঙ্কে ২৫% জ্বালানী ব্যবহৃত হয় এবং অন্য ট্যাঙ্কে ৩৭.৫% জ্বালানী ব্যবহৃত হয়। মোট ব্যবহৃত জ্বালানি ১১.২ গ্যালন হলে, প্রতিটি ট্যাঙ্কে কত পরিমাণ জ্বালানি সংরক্ষিত হয়।",১৮.৪০
16,নীলার কাছে ৯ টি নীল বেলুন ছিল এবং সে আরও ২ টি পেয়েছে। নীলার কাছে এখন কতটি নীল বেলুন আছে?,১১
17,পিতা পুত্রের বর্তমান বয়সের পার্থক্য ১৫ বছর । ৩০ বছর পর তাদের  বয়সের পার্থক্য কত হবে?,১৫
18,১৭১৬ মিটার লম্বা একটি ভারকে ৭৮টি সমানভাগে ভাগ করা হলে প্রতিভাগের দৈর্ঘ্য কত মিটার হবে?,২২
19,৮৫ কেজি চালের দাম ২২৯৫ টাকা হলে ১ কেজি চালের দাম কত?,২৭
20,তোমার কাছে ২৭৮৪টি পুঁতি আছে। একটি মালা তৈরি করতে ৯৮টি পুঁতি লাগে। সবগুলো পুঁতি ব্যবহার করে তুমি এরূপ কতটি মালা তৈরি করতে পারবে?,২৮
21,৫০০টি পেনসিল থেকে প্রতি বক্সে ১২টি করে পেনসিল রাখলে কতটি বক্সের প্রয়োজন পড়বে?,৪২
22,তুমি ৯৯ জন খেলোয়াড় থেকে ১১ সদস্য বিশিষ্ট কতটি ফুটবল দল গঠন করতে পারবে ?,৯
23, রূপা ও মনির কাছে একসাথে ৮৭৫ টাকা রয়েছে। মনির কাছে রূপার চেয়ে ১২৫ টাকা বেশি রয়েছে। মনির কাছে কত টাকা আছে ?,৫০০
24, রূপা ও মনির কাছে একসাথে ৮৭৫ টাকা রয়েছে। মনির কাছে রূপার চেয়ে ১২৫ টাকা বেশি রয়েছে। রূপার কাছে কত টাকা আছে ?,৩৭৫
25,পিতা-পুত্রের বয়সের সমষ্টি ৫৫ বছর। পিতার বয়স পুত্রের বয়সের ৪ গুণ। পিতার বয়স কত?,৪৪
26,৪টি মুরগি এবং ৩টি হাঁসের দাম একত্রে ৬৩৯ টাকা। ১টি হাঁসের দাম ৮৫ টাকা হলে ১টি মুরগির দাম কত ?,৯৬
27,এমন একটি সংখ্যা নির্ণয় কর যা ১৫৪৩ থেকে ৫০০ বড়।,২০৪৩
28,"গ্রামবাসীরা গ্রামের রাস্তা মেরামতের জন্য টাকা তোলার সিদ্ধান্ত নিলেন । গ্রামে ৩২৪টি পরিবার আছে। প্রত্যেক পরিবার যদি ২৫০ টাকা করে জমা দেয়, তাহলে সর্বমোট কত টাকা হবে ?",৮১০০০
29,"একটি কোম্পানির ব্যবসায় ৯৫২০০ টাকা লাভ হলো এবং তা কর্মচারীদের মধ্যে সমানভাবে ভাগ করে দেওয়ার সিদ্ধান্ত হলো । যদি প্রত্যেক কর্মচারী ৮০০ টাকা করে পান, তাহলে কর্মচারীর সংখ্যা কত?",১১৯
30,আলতাফ সাহেবের মাসিক বেতন ৯৮৭০ টাকা। প্রতি মাসে তিনি ৩৮০০ টাকা বাসা ভাড়া বাবদ এবং ৫৬৫০ টাকা পরিবারের প্রয়োজন বাবদ খরচ করেন। অবশিষ্ট টাকা তিনি একটি ব্যাংকে জমা রাখেন। তিনি বছরে কত টাকা ব্যাংকে জমা রাখেন?,৫০৪০
31,১৮টি ডিমের দাম ৭২ টাকা। এরূপ ১৫টি ডিম ক্রয় করতে কত টাকার প্রয়োজন?,৬০
32,৪টি কলমের মূল্য ৮০ টাকা। ১০টি কলমের মূল্য কত?,২০০
33,১২টি প্লেট এবং ২০টি কাপের মূল্য একত্রে ৩৯২০ টাকা। একটি কাপের মূল্য ১৪৫ টাকা। একটি প্লেটের মূল্য কত ?,৮৫
34,"একটি মুদি দোকানে একটি খাতা ১৮ টাকায়, একটি পেনসিল ৮ টাকায় এবং একটি জ্যামিতিক ত্রিকোণি ২৫ টাকায় বিক্রি হয়। আমরা ৪টি খাতা, ৮টি পেনসিল এবং ২টি জ্যামিতিক ত্রিকোণ কেনার সময় ৫০০ টাকা দিলে কত টাকা ফেরত পাব।",৩১৪
35,একটি মোটরসাইকেল ১২ লিটার পেট্রল দিয়ে ৩০০ কি.মি. যেতে পারে। ১০০ কি.মি. যাওয়ার জন্য কত লিটার পেট্রল লাগবে?,৪
36,২টি গরু এবং ৩টি ছাগলের মূল্য একত্রে ৪৫০৮০ টাকা। একটি ছাগলের মূল্য ৪৫৬০ টাকা। একটি গরুর মূল্য কত ?,১৫৭০০
37,জালাল সাহেবের মাসিক বেতন ৮৭৬৫ টাকা। প্রতি মাসে তিনি ৩২২৫ টাকা বাড়িভাড়া এবং ৪৮৫০ টাকা অন্যান্য জিনিস ক্রয়ে খরচ করেন। অবশিষ্ট টাকা তিনি ব্যাংকে জমা রাখেন। তিনি ৮ মাসে কত টাকা জমা করেন?,৫৫২০
38,ফরিদা এবং ফাতেমার বেতন একত্রে ১৯৯৫০ টাকা । ফরিদা অপেক্ষা ফাতেমা ২৪৫০ টাকা বেশি পায়। ফরিদার বেতন কত ?,৮৭৫০
39,ফরিদা এবং ফাতেমার বেতন একত্রে ১৯৯৫০ টাকা । ফরিদা অপেক্ষা ফাতেমা ২৪৫০ টাকা বেশি পায়। ফাতেমার বেতন কত ?,১১২০০
40,রাজু এবং রনির একত্রে ৬৯০টি লিচু আছে। রাজু অপেক্ষা রনির ৮৬টি লিচু কম আছে। রাজুর কতটি লিচু আছে?,৩৮৮
41,রাজু এবং রনির একত্রে ৬৯০টি লিচু আছে। রাজু অপেক্ষা রনির ৮৬টি লিচু কম আছে।রনির কতটি লিচু আছে?,৩০২
42,মা এবং পুত্রের বয়সের সমষ্টি ৬০ বছর। মায়ের বয়স পুত্রের বয়সের ৩ গুণ। মায়ের বয়স কত?,৪৫
43,মা এবং পুত্রের বয়সের সমষ্টি ৬০ বছর। মায়ের বয়স পুত্রের বয়সের ৩ গুণ। পুত্রের বয়স কত?,১৫
44,"ভাজক ৭৮, ভাগফল ২৫ এবং ভাগশেষ হলো ভাজকের এক তৃতীয়াংশ। ভাজ্য কত?",১৯৭৬
45,"ভাজ্য ৮৯০৩, ভাজক ৮৭ এবং ভাগশেষ ২৯। ভাগফল কত?",১০২
46,একটি কারখানায় ৭ দিনে ২৫২০টি সাইকেল তৈরি হয়। ওই কারখানায় ৩ সপ্তাহে কতটি সাইকেল তৈরি হবে?,৭৫৬০
47,আয়েশা ৭২ টাকা দিয়ে ৩টি খাতা কিনল। ১২টি খাতা কিনতে তার কত টাকা লাগবে ?,২৮৮
48,"যদি ৮ কেজি পোলাওয়ের চালের মূল্য ৯৬০ টাকা হয়, তাহলে ৪৮০০ টাকা দিয়ে কত কেজি চাল কেনা যাবে?",৪০
49,গিতার কাছে ১১/৬ লিটার ও মামুনের কাছে  ১৩/৬ লিটার জুস আছে। মামুনের কত লিটার বেশি জুস আছে?,১/৩
50,৭/৫ মি ও ৪/৫ মি দৈর্ঘ্যের দুইটি ফিতা একত্রে কত মিটার?,১১/৫
51,গিতার কাছে ১৩/৮ লিটার ও মামুনের কাছে ১১/৬ লিটার জুস আছে। মামুনের জুসের পরিমাণ কত বেশি ?,৫/২৪
52,"এক বক্স আইসক্রিম তৈরিতে ২/৭ লিটার দুধ প্রয়োজন হয়। এরকম ৩ বক্স
আইসক্রিম তৈরি করতে কত লিটার দুধ প্রয়োজন ?",৬/৭
53,একটি বোর্ডের ৩/৪ বর্গ মি রঙিন করতে ১ ডেসি লিটার রং লাগে। ৪ ডেলি লিটার রং দ্বারা কত বর্গ মিটার রং করা যাবে?,৩
54,এক বাটি পায়েস তৈরি করতে ২ কিলোগ্রাম চিনি লাগে। এরূপ ১৪ বাটি পায়েস তৈরি করতে কত কিলোগ্রাম চিনি লাগবে ?,২৮
55,"৪/৫ লিটার শরবত ২ জনকে সমানভাবে ভাগ করে দিলে প্রত্যেকে কত লিটার
শরবত পাবে ?",২/৫
56,৮/৯ লিটার দুধ ৫ জনকে সমানভাবে ভাগ করে দিলে প্রত্যেকে কত লিটার দুধ পাবে?,৮/৪৫
57,"৩/৫ বর্গ মি ক্ষেত্রফল এর জন্য ২ ডেসি লিটার রং লাগে। ১ ডেসি লিটার রং দ্বারা কত বর্গ মিটার
ক্ষেত্রফল রং করা যাবে?",৩/১০
58,১ ডেসি লি রং দ্বারা ৮/৯ বর্গ মিটার রং করা যায় । ৫/৮ ডেসি লি রং দ্বারা কত বর্গ মিটার রং করা যাবে?,৫/৯
59,"একটি বাগানের ক্ষেত্রফল ২০ বর্গ মিটার। এই বাগানের ৫/৬ অংশ ফুল চাষ করা হয়েছে, চাষ করা অংশের ক্ষেত্রফল কত বর্গ মিটার?",১৬.৬৬
60,"৪টি দুধের প্যাকেটের প্রত্যেকটিতে ০.২ লিটার করে দুধ আছে। সব প্যাকেটের দুধ
একত্র করলে কত লিটার দুধ হবে ?",০.৮০
61,৫টি কাপ আছে যার প্রত্যেকটির ওজন ০.৩ কেজি। ৫টি কাপের ওজন একত্রে কত ?,১.৫০
62,৭ প্যাকেট দুধের প্রত্যেকটিতে ০.০৮ লিটার দুধ আছে। এরূপ ৭টি প্যাকেটে মোট কত লিটার দুধ আছে ?,০.৫৬
63,"একটি মোটরসাইকেল প্রতি সেকেন্ডে ০.০২ কি.মি. যায়। ৮ সেকেন্ডে কত কিলোমিটার
যায় ?",০.১৬
64,"আমরা ০.৬ লিটার দুধকে ৩ জন শিক্ষার্থীর মধ্যে সমানভাবে ভাগ করতে চাই।
প্রত্যেক শিক্ষার্থী কত লিটার দুধ পাবে ?",০.২০
65,৫ জন শিক্ষার্থী ৪.৫ মিটার ফিতা নিজেদের মধ্যে সমানভাবে ভাগ করতে চায়। প্রত্যেকে কত মিটার ফিতা পাবে ?,০.৯০
66,"একটি পাত্রে ০.৬৩ লিটার তেল আছে। ঐ তেল ৭টি কাপে সমানভাবে ঢালা হলে, প্রত্যেক কাপে কত লিটার তেল থাকবে ?",০.০৯
67,"আমরা ২ লিটার দুধকে ৫ জন শিক্ষার্থীর মধ্যে সমানভাবে ভাগ করতে চাই।
প্রত্যেক শিক্ষার্থী কত লিটার দুধ পাবে ।",০.৪০
68,একজন শিক্ষক ৭৫ জন শিক্ষার্থীর প্রত্যেককে ০.২৪ মিটার করে ফিতা দিলেন। তিনি সকল শিক্ষার্থীকে মোট কত মিটার ফিতা দিলেন ?,১৮
69,এক ঝুড়ি ফলের ওজন ২.৫৬৫ কেজি হলে এরূপ ১২টি ঝুড়ির ফলের ওজন কত ?,৩০.৭৮
70,একটি প্যাকেটে ০.৩৩৪ লিটার দুধ আছে। এরূপ ৫০টি প্যাকেটে কত লিটার দুধ আছে ?,১৬.৭০
