Q No.,Question,Answer,option1,option2
1,"একটি পিকআপ এবং একটি ভ্যান উভয়ই মহাসড়কে ৬০ মাইল বেগে চলছে। 
যদি পিকআপটি প্রস্থানের দিকে চলে যায় এবং ভ্যানটি তাড়াতাড়ি থামে, 
তবে কোন গাড়িটি কম দূরত্ব অতিক্রম করবে?",Option 1,পিকআপ,ভ্যান
2,একটি গল্ফ বলের ভর ৪০ গ্রাম এবং একটি বেসবলের ভর ১৫০ গ্রাম। কোনটির মাধ্যাকর্ষণ বল বেশি?,Option 2,গল্ফবল,বেসবল
3,একটি ১০ বছর বয়সী ছেলে এবং একটি ১৫ বছর বয়সী ছেলে ফুটবল ছুড়ে মারে। কোন ছেলেটি ফুটবলকে সবচেয়ে কম দূরত্বে ছুঁড়ে ফেলবে?,Option 1, ১০ বছর বয়সী ছেলে,১৫ বছর বয়সী ছেলে
4,পৃথিবীর দ্রুততম স্থল প্রাণী চিতা একটি খরগোশের বিরুদ্ধে ১০০ মিটার দৌড় করছিল। এই দৌড়ে কে জিতবে?,Option 1,চিতা ,খরগোশ
5,মিলো সর্বদা জানেন যে একটি টেবিল কার্পেটের চেয়ে কম ঘর্ষণ সরবরাহ করে। যখন তিনি তার আইস কিউবটি উভয় পৃষ্ঠজুড়ে স্লাইড করেন তখন আইস কিউবটি অন্যটির চেয়ে বেশি গলে যায়। কোনটিতে?,Option 1, কার্পেট,টেবিল
6,জন ১০ ইঞ্চি পুরু বরফ এবং এক ইঞ্চি পুরু বরফের উপর দাঁড়িয়ে আছে। কোন ধরনের বরফের  ভাঙ্গার সম্ভাবনা সবচেয়ে কম?,Option 1,১০ ইঞ্চি পুরু বরফ, ১ ইঞ্চি পুরু বরফ
7,স্ট্যানলি এবং কাইল রাস্তায় ৪০ মাইল গতিতে তাদের গাড়ি চালাচ্ছেন। স্ট্যানলি তার ফোনের উত্তর দেওয়ার জন্য তার গাড়ি থামিয়ে দেয় যখন কাইল গাড়ি চালিয়ে যায়। সবচেয়ে কম দূরত্বে গাড়ি চালায় কে?,Option 1,স্ট্যানলি ,কাইল
8,"একটি ফুটবল বলের ওজন ৩০০ গ্রাম এবং এক খণ্ড সীসার ওজন ৮০০ গ্রাম। যদি উভয়কে একটি মাঠে ছুড়া হয়, তবে কোনটির গতি তাড়াতাড়ি বাড়বে?",Option 2,সীসা খণ্ড,ফুটবল বল
9,একটি বইয়ে ৪০০ পৃষ্ঠা এবং আরেকটি বইয়ে ৩৫০ পৃষ্ঠা আছে। কোন বইটি বেশি পুরু? ,Option 2,দ্বিতীয়টি,প্রথমটি
10,"একটি ম্যামথ পানির গর্তের মধ্য দিয়ে ঘণ্টায় ১৮ কিলোমিটার গতিতে এগোয়, কিন্তু শক্ত ময়লার উপর ঘন্টায় ১৮ মাইল গতিতে চলে যায় কারণ শক্ত ময়লা ছিল? ",Option 2,বেশী প্রতিরোধী,কম প্রতিরোধী
11,টিনা এবং মিনা দুজনেই মহাসড়কে একই গতিতে চলছে। টিনা ১২৯ মিনিট এবং মিনা ৩৬ মিনিট ৪৮ সেকেন্ড গাড়ি চালায়। টিনা _______গাড়ি চালিয়েছে। ,Option 2,কম,বেশি 
12,করিমের নৌকার প্রপেলার সমুদ্রে ২০০০ আরপিএম এবং নদীতে ৩০০০ আরপিএম গতিতে চলাচল করে। কোথায় প্রপেলারটি কম গরম হয়েছে?,Option 2,সমুদ্রে ,নদীতে
13,৬৭৮০৯০ থেকে  ৯৮৭৬৫০ সংখ্যাটি?,Option 2,ছোট,বড়
14,১২৩৪৫৬ থেকে  ৯৮৭৬৫৪ সংখ্যাটি?,Option 2,ছোট,বড়
15,১২৩৪৫৬৭৮৯ থেকে  ৯৮৭৬৫৪৩২১ সংখ্যাটি?,Option 1,বড়,ছোট
16,৬৭৮০৯০ সংখ্যাটি ৯৮৭৬৫০ সংখ্যাটি থেকে ?,Option 2,বড়,ছোট
17,১২৩৪৫৬ সংখ্যাটি  ৯৮৭৬৫৪ সংখ্যাটি থেকে ?,Option 2,বড়,ছোট
18,১২৩৪৫৬৭৮৯ সংখ্যাটি  ৯৮৭৬৫৪৩২১ সংখ্যাটি থেকে ?,Option 1,ছোট,বড়
19,১২৩৪৫৬৭৮৯০ সংখ্যাটি ৯৮৭৬৫৪৩২১০ সংখ্যাটি থেকে ?,Option 1,ছোট,বড়
20,১২৩৪৫৬৭৮০৯০ সংখ্যাটি ৯৮৭৬৫৪৩২১ সংখ্যাটি থেকে  ?,Option 2,ছোট,বড়
21,৯৯৯৯৯ থেকে  ১১১১১১ সংখ্যাটি?,Option 2,ছোট,বড়
22,৮৮৮৮৮৮ থেকে  ১১১১১১১ সংখ্যাটি?,Option 1,বড়,ছোট
23,২২২২২২২ থেকে  ৫৫৫৫৫৫ সংখ্যাটি?,Option 2,বড়,ছোট
24,৬৭৮০৯০ থেকে  ৯৮৭৬৫৫ সংখ্যাটি?,Option 2,ছোট,বড়
25,১২৩৪৫৬৭৮৯০ থেকে  ৯৮৭৬৫৪৩২১০ সংখ্যাটি?,Option 1,বড়,ছোট
26,১২৩৪৫৬৭৮০৯০ থেকে  ৯৮৭৬৫৪৩২১ সংখ্যাটি?,Option 1,ছোট,বড়
27,তোমার কাছে ১০০টি একশত টাকার নোট রয়েছে। তোমার কাছে মোট কত টাকা রয়েছে?,Option 2,১০০০,১০০০০
28,তোমার কাছে প্রতিটি ২৩০ মিটার লম্বা ১৫টি রশি রয়েছে। যদি তুমি ১৫টি রশি এক লাইনে রাখ তবে পুরো রশিটি লম্বায় কত মিটার হবে ?,Option 2,২৩০০,৩৪৫০
29,গাছের ডাল ৬ ইঞ্চি পুরু যেখানে ফুলের ডাল ০.২৫ ইঞ্চি। তাই গাছের ডাল ছিল?,Option 2,দুর্বল,শক্তিশালী
30,আপনি কোনটি বেশী শুনতে পাবেন বলে মনে করেন?,Option 2,একটি হেলিকপ্টার যেটি 154 ফুট দূরে উড়ছে,একটি হেলিকপ্টার যা ৬২ মিটার দূরে উড়ছে
31,আমার বাসা থেকে ১০০ ফুট দূরত্ব থেকে পুলিশের সাইরেন আমার বাসা থেকে ১৭৫ ফুট দূরত্বে চলে যাওয়ায় সাইরেনের শব্দ?,Option 2,বেড়ে গেল,কমে গেল
32,এক টুকরো চুলের ব্যাস ০.০৬ মি.মি. যেখানে একটি দড়ির ব্যাস ১১ মি.মি. তাই চুল?,Option 2,শক্তিশালী,দুর্বল
33,এক টুকরো চুলের ব্যাস ০.০৪ মি.মি. যেখানে একটি দড়ির ব্যাস ৯ মি.মি. তাই চুল?,Option 2,শক্তিশালী,দুর্বল
34,আমার বাসা থেকে ২০০ ফুট দূরত্ব থেকে পুলিশের সাইরেন আমার বাসা থেকে ১৭৫ ফুট দূরত্বে চলে যাওয়ায় সাইরেনের শব্দ?,Option 1,বেড়ে গেল,কমে গেল
35,√২ একটি কি ধরনের সংখ্যা?,Option 2,মূলদ ,অমূলদ 
36,পাড়ার পুরষ্কার বিতরণী অনুষ্ঠানের জন্য পুরষ্কার কিনতে হবে। আমরা অনেকে দোকানে নানান পুরষ্কার কিনতে গেছি। একই দামের ৫টি টিফিন বাক্স কিনতে ১৭৫ টাকা লেগেছে। পরে পাড়ার দোকান থেকে একই দামের ৪টি টিফিন বাক্স ১৪০ টাকায় কিনেছি। পাড়ার দোকান একই দাম নিল কিনা হিসাব করি।,Option 1,একই দাম নিল,একই দাম নিল না
37,রবিন একইরকম পেয়ালা ৬টি কিনেছে ১৪৪ টাকা দিয়ে। কিন্তু লীলা একইরকম পেয়ালা অন্য দোকান থেকে ৪টি কিনেছে ৪৪ টাকা দিয়ে। দুটি দোকান একই দাম নিয়েছে কিনা হিসাব করে দেখি।,Option 1,একই দাম নিল না,একই দাম নিল
38,আমাদের স্কুল থেকে আয়েশা ও কামালের বাড়ি যথাক্রমে ১ কি.মি. ও ৬০০ মিটার দূরে। আজ আয়েশা ও কামাল বাড়ি থেকে যথাক্রমে ২০ মিনিটে ও ১২ মিনিটে স্কুলে এসেছে। দেখি ওরা একই সময়ে স্কুলে এসেছে কি?,Option 1,একই সময়ে স্কুলে এসেছে,একই সময়ে স্কুলে আসেনি
39,আমার বন্ধু প্রিয়ার উচ্চতা ১৬০ সে.মি. ও তার মায়ের উচ্চতা ১৭০ সে.মি.। আবার প্রিয়ার ওজন ৪০ কিগ্রা. এবং তার মায়ের ওজন ৪২.৫ কিগ্রা.। তাদের উচ্চতার সাথে ওজন সমানুপাতে আছে কিনা হিসাব করি।,Option 2,সমানুপাতে নেই,সমানুপাতে আছে
40,মোহিত এক দোকান থেকে ২০ টাকায় ৬টি কলা কিনে আনল। কিন্তু রাজু অন্য দোকন থেকে ২ ডজন কলা ৭২ টাকায় কিনল। কে কলা কিনতে বেশি টাকা দিয়েছে।,Option 2,রাজু ,মোহিত 
41,আজ টিফিনে আমি কেক নিয়ে গিয়েছিলাম। আমার দুই বন্ধু আয়ুষ ও সাবানা আমার কেকের যথাক্রমে ১/৩ অংশ ও ২/৫ অংশ খেল। কেকের বাকি অংশটা আমি খেলাম। কে বেশি কেক খেল? ,Option 1,সাবানা,আয়ুষ
42,রতনবাবু তাঁর ২৫বিঘা জমির মধ্যে ১৬ বিঘা জমিতে পাট চাষ করেছেন। কিন্তু উষাদেবী তাঁর ১৫ বিঘা জমির মধ্যে ৮ বিঘা জমিতে পাট চাষ করেছেন। কে বেশি অংশ জমিতে পাট চাষ করেছেন।,Option 2,উষাদেবী,রতনবাবু
43,আজমীরা স্কুলে হাতের কাজ দেখিয়ে ৫০ এর মধ্যে ২৫ নম্বর পেয়েছে। কিন্তু আলির স্কুলে আলি হাতের কাজে ২৫ এর মধ্যে ১০ নম্বর পেয়েছে। কে বেশি অংশ নম্বর পেয়েছে হিসাব করি।,Option 1,আজমীরা ,আলি 
44,"একই মাপের দুটি গ্লাসে একই পরিমাণ সরবত তৈরি করা হলো। প্রথম গ্লাসের সরবতের ১/৫ অংশ চিনি আছে, দ্বিতীয় গ্লাসের সরবতে ২/৭ অংশ চিনি আছে। সরবত খাওয়ার আগেই কোন গ্লাসের সরবত বেশি মিষ্টি দেখি।",Option 1,দ্বিতীয় গ্লাসে,প্রথম গ্লাসে
45,গনিত বইয়ে ৪০০ পৃষ্ঠা এবং বাংলা বইয়ে ৩৫০ পৃষ্ঠা আছে। কোন বইটি বেশি পুরু?,Option 2,বাংলা ,গনিত 
46,"দুইটা পাত্রে কিছু পানি আছে। একটি তে পানির সাথে সোডিয়াম ক্লোরাইড এবং
 অপরটিতে পানির সাথে সালফিউরিক এসিড মিশ্রিত আছে। 
এখানে কোন মিশ্রিত পানিটি পান করা নিরাপদ।",Option 2,সালফিউরিক এসিড মিশ্রিত পানি,সোডিয়াম ক্লোরাইড পানি
47,"একজন ট্রেন কন্ডাক্টর একটি ট্র্যাক থেকে মাটিতে চাকায় গতিপথ পরিবর্তন করে
 লক্ষ্য করেন যে তিনি ৫৮ কি.মি./ঘণ্টা গতিতে ভ্রমণ করছেন, যেখানে তিনি
 একই পরিমাণ শক্তি দিয়ে ৩৯ কি.মি./ঘণ্টা গতিতে ভ্রমণ করছেন। কোনটি বেশী মসৃণ ছিল।",Option 2,ট্র্যাক,চাকা
48,টিনা এবং মিনা দুজনেই মহাসড়কে একই গতিতে চলছে। টিনা ৩৭ মিনিট ৫০ সেকেন্ড এবং মিনা ৩৬ মিনিট ৪৮ সেকেন্ড গাড়ি চালায়। কে বেশী দুরুত্ত গাড়ি চালিয়েছে।,Option 1,টিনা,মিনা
49,"টিনা তার দুটি কুকুরের মধ্যে দৌড় দিচ্ছে। এর মধ্যে গ্রেহাউন্ডের ওজন ৪০ কেজি, এবং তার রটওয়েলারের ওজন ৩৫ কেজি। কোন কুকুরটি বেশী দ্রুত দৌড়ায়?",Option 1,রটওয়েলার,গ্রেহাউন্ড
50,মহসিন এবং মরিয়ম পার্কের চারপাশে তাদের বাইক চালানোর সিদ্ধান্ত নেয়। তারা একই পথ অনুসরণ করে কিন্তু মহসিন ১৬ মাইল/ঘণ্টা বেগে তার বাইক চালায় এবং মরিয়ম ৫ মাইল/ঘন্টা বেগে চালায়। দশ মিনিট পর কে কম দূরত্ব অতিক্রম করবে?,Option 2,মহসিন,মরিয়ম
51,একটি ট্যাঙ্কের ওজন প্রায় ৬৩ টন। একটি খেলনা গাড়ির ওজন ১.৫ কেজি। এই কারনে?,Option 2,ট্যাঙ্কটি খেলনা গাড়ির চেয়ে দ্রুত গতি পাবে,খেলনা গাড়িটি ট্যাঙ্কের চেয়ে দ্রুত গতি পাবে
52,"ম্যামথটি জলের গর্তের মধ্য দিয়ে ঘন্টায় ২১ কিমি বেগে চলেছিল, কিন্তু শক্ত মাটির উপর ঘন্টায় ১৪ কিমি বেগে চলেছিল কারণ শক্ত মাটির ছিল?",Option 2,কম প্রতিরোধী,বেশী প্রতিরোধী
53,"ম্যামথটি জলের গর্তের মধ্য দিয়ে ঘন্টায় ১৮ কিলোমিটার গতিতে চলেছিল, কিন্তু শক্ত মাটির উপর ঘন্টায় ১৮ মাইল বেগে চলেছিল কারণ শক্ত মাটির ছিল?",Option 1,কম প্রতিরোধী,বেশী প্রতিরোধী
54,"সারাহ একই পাওয়ারের দুটি অভিন্ন বাতি চালু করতে একটি রিমোট কন্ট্রোল ব্যবহার করেছিলেন, একটি ছিল ৪ মিটার দূরে এবং অন্যটি ৩০ মিটার দূরে। কোন বাতি উজ্জ্বল দেখাচ্ছিল?",Option 1,কাছাকাছি বাতি,দূরের বাতি
55,"একটি সেডানের ওজন ১৫০০ কেজি এবং একটি আবর্জনা ট্রাক যার ওজন ৬৯৬৩২ পাউন্ড , ট্রাফিক লাইটে আলো সবুজ হয়ে গেলে উভয় গাড়ির বেগ প্রতি ঘণ্টায় ৫০ মাইল পর্যন্ত পৌঁছায়। কোন গাড়িটি প্রতিযোগিতায় জিতবে?",Option 1,সেডান,আবর্জনার ট্রাক
