Q No.,Question,Answer,Domain,Sub-Domain
34,यदि किसी समुच्चय के सदस्यों की संख्या ३ हो तो उसके उचित उपसमुच्चयों की संख्या कितनी है?,७,Math,Set Function
513,५ ग्राम हाइड्रोजन गैस को १.२७ x १०^२४ क्लोरीन परमाणुओं के बीच प्रवाहित किया जाए तो इसमें कितने ग्राम क्लोरीन गैस थी?,७५,Chemistry,Chemistry
214,१ से १० तक क्रमिक संख्या वाले टिकटों को अच्छी तरह मिलाकर यादृच्छिक रूप से एक टिकट निकालने पर टिकट के २ अथवा ३ के गुणज होने की प्रायिकता कितनी है?,७/१०,Math,Probability
256,दो सिक्के एक साथ उछाले जाएँ तो अधिक से अधिक एक हेड आने की प्रायिकता कितनी है?,३/४,Math,Probability
563,यदि १७.७५ ग्राम सोडियम सल्फेट ४५० मिली विलयन में घुला हो तो विलयन की सांद्रता कितनी है?,०.२७,Chemistry,Chemistry
69,एक गाय को रस्सी से इस प्रकार बाँधा गया कि गाय १४४ वर्ग मीटर के वृत्ताकार मैदान की घास खा सके। मैदान का व्यास कितने मीटर है?,१३.५४,Math,Trigonometry
78,एक वृत्त का व्यास ५ से.मी. है। वृत्त में १५ से.मी. लंबे चाप के केंद्रीय कोण का मान कितने रेडियन है?,६,Math,Trigonometry
62,"एक पहिया ३.२५ कि.मी. रास्ता तय करने में २५ बार घूमता है, पहिये का व्यास कितने मीटर है?",४१.३८,Math,Trigonometry
6,दशमलव संख्या २५ का बाइनरी कितना है?,११००१,CS,CS
528,नीले थोथे (तूतिया) के एक अणु में जुड़े पानी का भार कितना है?,९०,Chemistry,Chemistry
626,क्लोरिक एसिड में क्लोरीन की प्रतिशत मात्रा कितनी है?,४२.०१,Chemistry,Chemistry
398,४० किग्रा द्रव्यमान का एक लड़का सीढ़ी से १५ सेकंड में छत पर चढ़ता है। सीढ़ी में सीढ़ियों की संख्या २० है और प्रत्येक सीढ़ी की ऊँचाई १६ से.मी. है। लड़के ने कितने जूल कार्य किया था?,१२५४.४,Physics,Physics
370,एक वस्तु को धागे से बाँधकर ऊर्ध्वाधर तल में एक बार घुमाकर लाने पर किए गए कार्य की मात्रा कितने जूल है?,०,Physics,Physics
624,२४९.५ ग्राम ब्लू विट्रियल को गर्म करके १५० ग्राम सफेद पाउडर प्राप्त हुआ। उत्पाद की प्रतिशत मात्रा कितनी है?,९४.१०,Chemistry,Chemistry
664,५० ग्राम फ्लोरीन को ४ ग्राम हाइड्रोजन गैस के बीच प्रवाहित किया गया। अभिक्रिया में कितनी मात्रा में हाइड्रोजन फ्लोरीन के साथ अभिक्रिया करेगी?,२.६३,Chemistry,Chemistry
105,दो कोणों का योग ६० डिग्री और अंतर ३० डिग्री है। बड़ा कोण कितने डिग्री है?,४५,Math,Trigonometry
551,२ लीटर ०.२ मोलर सोडियम कार्बोनेट विलयन में कितनी मात्रा में सोडियम कार्बोनेट है?,४२.४०,Chemistry,Chemistry
289,अंतिम त्रुटि ८ वर्ग मीटर है। यदि मापा गया मान १२० वर्ग मीटर हो तो क्षेत्रफल ज्ञात करने में आपेक्षिक त्रुटि प्रतिशत में कितनी है?,६.६६,Physics,Physics
112,१ रेडियन को डिग्री में व्यक्त करने पर कितना होगा?,५७.२९,Math,Trigonometry
594,१२ ग्राम मैग्नीशियम कितने ग्राम ऑक्सीजन के साथ अभिक्रिया करेगा?,८,Chemistry,Chemistry
101,४५० किलोमीटर दूर एक बिंदु पर कोई पहाड़ ७ डिग्री का कोण बनाता है। पहाड़ की ऊँचाई कितने मीटर है?,५४९७७.८७,Math,Trigonometry
