Q No.,Premise,Hypothesis,Answer
1,"যেহেতু আপনি ভালো, আপনি নাজমুলকে ২ টি বেসবল কার্ড দিয়েছেন।","যেহেতু আপনি ভালো, আপনি নাজমুলকে ২টির বেশি বেসবল কার্ড দিয়েছেন।",contradiction
2,মলি ১০ দিনের মধ্যে একটি কাজ করতে পারে যখন জলি ৩০ দিনে কাজটি করতে পারে।,মলি ৭০ দিনে একটি কাজ করতে পারে যখন জলি ৩০ দিনে কাজটি করতে পারে।,contradiction
3,"স্যাম, সুরেশ এবং সংকেত ১৪০০ মিটার দৌড়ায়।","স্যাম, সুরেশ এবং সংকেত ৫৪০০ মিটার দৌড়ায়।",contradiction
4,রাশেদ ৬৫টি বই কিনলেন।,রাশেদ ২৫টিরও বেশি বই কিনলেন।,Entailment
5,হরকমল ৭০ কেজি দরে ২ কেজির বেশি আঙুর এবং ৫৫ কেজি দরে ৯ কেজি আম কিনেছেন।,হরকমল ৭০ কেজি দরে ৮ কেজি আঙ্গুর এবং ৫৫ কেজি দরে ৯ কেজি আম কিনেছিলেন।,neutral
6,অশোক এবং পেয়ারলাল একসাথে একটি ব্যবসায় অর্থ বিনিয়োগ করেছিলেন এবং অশোকের মূলধন পেয়ারেলালের ১/৯ ভাগ।,অশোক এবং পেয়ারেলাল একটি ব্যবসায় একসাথে অর্থ বিনিয়োগ করেছিলেন এবং অশোকের মূলধন পেয়ারেলালের ৩/৯ এর কম।,Entailment
7,ছয় বছর আগে কুণাল ও সাগরের বয়সের অনুপাত ছিল ৬:৫,ছয় বছর আগে কুণাল ও সাগরের বয়সের অনুপাত ছিল ৬:৫-এর বেশি,contradiction
8,পাঁচ বছর আগে কুণাল ও সাগরের বয়সের অনুপাত ছিল ৩:২,পাঁচ বছর আগে সাগর ও কুণালের  বয়সের অনুপাত ছিল ৩:২,contradiction
9,দশ বছর আগে কুণাল ও সাগরের বয়সের অনুপাত ছিল ১২:৮,দশ বছর আগে কুণাল ও সাগরের বয়সের অনুপাত ছিল ৩:২,Entailment
10,দশ বছর আগে কুণাল ও সাগরের বয়সের অনুপাত ছিল ১২:৮,পাঁচ বছর আগে সাগর ও কুণালের  বয়সের অনুপাত ছিল ৩:২,contradiction
11,বিলির ১টিরও বেশি আপেল রয়েছে,বিলির ৫টি আপেল আছে,neutral
12,মেরি জেনির চেয়ে ১০ বছরের ছোট,মেরি জেনির চেয়ে ২০ বছরের ছোট,contradiction
13,অনিতা চলে যায় এবং কাজ শেষ হওয়ার ৭ দিন আগে ইন্দুুও চলে যায়,অনিতা চলে যায় এবং কাজ শেষ হওয়ার ৭ দিনেরও কম আগে ইন্দু চলে যায়,contradiction
14,মেরি জেনির চেয়ে ১০ বছরের ছোট,মেরি জেনির চেয়ে ১০ বছরের বড়,contradiction
15,মেরি জেনির চেয়ে ২০ বছরের ছোট,জেনি মেরির চেয়ে ২০ বছরের বড়,Entailment
16,টুম্পার বয়স ১৪ বছর।,টুম্পার বয়স ১৫ বছর।,contradiction
17,"একটি $ ৫,০০০ পুরস্কার দেওয়া হয়।",কিছু জানি ? ৬৪১-২২৮-১৮২ নম্বরে কল করুন। একটি পুরস্কার দেওয়া হয়,neutral
18,"ভেরিডাক্স কর্পোরেশনে, ২৫০ জন কর্মচারী আছে","ভেরিডাক্স কর্পোরেশনে, ৬৫০ টিরও কম কর্মচারী রয়েছে৷",Entailment
19,"স্টুয়ার্ট ফার্মে ভেড়ার সংখ্যা এবং ঘোড়ার সংখ্যার মধ্যে অনুপাত ২ থেকে ৭, যদি প্রতিটি ঘোড়াকে প্রতিদিন ২৩০ আউন্স ঘোড়ার খাবার খাওয়ানো হয় এবং খামারে প্রতিদিন মোট ১২,৮৮০ আউন্স ঘোড়ার খাবারের প্রয়োজন হয়, তাহলে কী হবে? খামারে ভেড়ার সংখ্যা কত?","স্টুয়ার্ট ফার্মে ভেড়ার সংখ্যা এবং ঘোড়ার সংখ্যার মধ্যে অনুপাত ২ থেকে ৭ এর বেশি, যদি প্রতিটি ঘোড়াকে প্রতিদিন ২৩০ আউন্স ঘোড়ার খাবার খাওয়ানো হয় এবং খামারে প্রতিদিন মোট ১২,৮৮০ আউন্স ঘোড়ার খাবারের প্রয়োজন হয়, তাহলে কী হবে? খামারে ভেড়ার সংখ্যা কত?",contradiction
20,এর পর থেকে ১.২ মিলিয়নেরও বেশি মানুষ এটি দেখেছেন।,ইউটিউবে ১.২ মিলিয়নেরও বেশি মানুষ এটি দেখেছেন,Entailment
21,জো ঘন্টায় ৬০ মাইল বেগে ৪২০ মাইল চালায় এবং তারপর সে পরবর্তী ১২০ মাইল প্রতি ঘন্টায় ৪০ মাইল বেগে চালায়,"জো ঘন্টায় ৬০ মাইল বেগে ১২০ মাইল চালায়, এবং তারপর সে পরবর্তী ১২০ মাইল প্রতি ঘন্টা ৪০ মাইল বেগে চালায়",contradiction
22,"স্যান্ডির ৭০০ মিটার দূরত্ব অতিক্রম করতে কত সেকেন্ড সময় লাগে, যদি স্যান্ডি ১৮ কিমি/ঘন্টা বেগে দৌড়ায়?","স্যান্ডির ২০০ মিটারের বেশি দূরত্ব অতিক্রম করতে কত সেকেন্ড সময় লাগে, যদি স্যান্ডি ১৮ কিমি/ঘন্টা বেগে দৌড়ায়?",Entailment
23,রেবেকার বার্ষিক আয় কতটা বাড়াতে হবে যাতে এটি রেবেকা এবং জিমির সম্মিলিত আয়ের ৫৫% গঠন করে?,রেবেকার বার্ষিক আয় কতটা বাড়াতে হবে যাতে এটি রেবেকা এবং জিমির সম্মিলিত আয়ের ৫৫% এর কম হয়?,contradiction
24,জলাভূমিতে ৫৮.০ গিজ এবং ৩৭.০ হাঁস ছিল।,১৬.০ আরো গিজ জলাভূমি ছিল,contradiction
25,নাইন ওয়েস্টের আইকনিক মহিলাদের ফুটওয়্যার ডিজাইনার এবং সহ-প্রতিষ্ঠাতা ভিন্স ক্যামুটো মারা গেছেন।,ভিন্স কামুটো ৭৮ বছর বয়সে মারা গেছেন,neutral
26,জেক ১৬ দিনে একটি কূপ খনন করতে পারে,জেক ৬৬ দিনেরও কম সময়ে একটি কূপ খনন করতে পারে,Entailment
27,"ডায়ানার বয়স, বছরগুলিতে এবং রশিদের বয়সের এক তৃতীয়াংশ, বছরগুলিতে, ৭২ এর কম","ডায়ানার বয়স, বছরে, এবং রশিদের বয়সের এক তৃতীয়াংশ, বছরে, ৩২",neutral
28,"ভিক্টরের আছে ১৫ কাপ যদি ময়দা, ১৬ কাপ চিনি এবং ৮ কাপ দুধ","ভিক্টরের কাছে ১৫ কাপের কম থাকে যদি ময়দা, ১৬ কাপ চিনি এবং ৮ কাপ দুধ থাকে",contradiction
29,মিঃ যাদব তার মাসিক বেতনের ৬০% ভোগ্য জিনিসপত্রের জন্য ব্যয় করেন এবং অবশিষ্ট ৫০% কাপড় এবং পরিবহনে ব্যয় করেন,মিঃ যাদব তার মাসিক বেতনের ১০% ভোগ্য জিনিসপত্রের জন্য ব্যয় করেন এবং অবশিষ্ট ৫০% কাপড় এবং পরিবহনে ব্যয় করেন,contradiction
30,"ঠিক ৫/৭ পোনির ঘোড়ার নালা আছে, এবং ঠিক ২/৩ ঘোড়ার জুতোর পোনি আইসল্যান্ডের","ঠিক ৩/৭ টি পোনির ঘোড়ার জুতো আছে, এবং ঠিক ২/৩ ঘোড়ার জুতোর পোনি আইসল্যান্ডের।",contradiction
31,লিটল টেক্সাস ড্রিলিং কোম্পানির ১০০ ব্যারেল তেল উৎপাদন করতে কত ঘন্টা সময় লাগে?,৭০০ ব্যারেল তেল উৎপাদন করতে লিটল টেক্সাস ড্রিলিং কোম্পানির কত ঘন্টা সময় লাগে?,contradiction
32,১৬টি ন্যাটো সদস্য এবং ১৪টি দেশ যারা প্রতিদ্বন্দ্বী ওয়ারশ চুক্তি গঠন করেছিল তারা সম্মত হয়েছিল যে ইউরোপে মূল চুক্তির অধীনে প্রয়োগের ক্ষেত্রে উল্লেখযোগ্যভাবে কম সরঞ্জামের অনুমতি দেওয়া হবে।,ন্যাটোর সদস্য সংখ্যা ১৬।,Entailment
33,"ম্যারি যদি হ্যারির চেয়ে ৮০০ ডলার বেশি পান, তাহলে সেই বছরে তাদের ব্যবসায় কত লাভ হয়েছিল?","যদি মেরি হ্যারির চেয়ে $ ৫০০ বেশি পায়, তাহলে সেই বছরে তাদের ব্যবসার লাভ কত ছিল?",Entailment
34,"জেসমিনের দুটি স্লট সহ একটি টোস্টার রয়েছে যা একবারে প্রতিটি রুটির একপাশে টোস্ট করে এবং এটি করতে এক মিনিট সময় লাগে।
যদি সে টোস্টের ৩ টুকরো বানাতে চায়, তবে সেগুলিকে উভয় দিকে টোস্ট করতে তার সর্বনিম্ন কত সময় লাগবে?","জেসমিনের দুটি স্লট সহ একটি টোস্টার রয়েছে যা একবারে প্রতিটি রুটির একপাশে টোস্ট করে এবং এটি করতে এক মিনিট সময় লাগে। যদি সে ৩ টুকরো টোস্টের বেশি বানাতে চায়, তবে সেগুলিকে উভয় দিকে টোস্ট করতে তার সর্বনিম্ন কত সময় লাগবে?",contradiction
35,মেরি ২৮ দিনের মধ্যে একটি কাজ করতে পারেন,মেরি ৩৮ দিনেরও কম সময়ে একটি কাজ করতে পারে,Entailment
36,"সান ডুরাঙ্গো শহরে, ৬০ জন মানুষ বিড়াল, কুকুর বা খরগোশের মালিক","সান ডুরাঙ্গো শহরে, ৪০ টিরও বেশি লোক বিড়াল, কুকুর বা খরগোশের মালিক",Entailment
37,প্রসিকিউশনগুলি আরও আক্রমনাত্মক হওয়ার প্রবণতা ছিল এবং মিনকো মামলার মতো আর্থিক অপরাধের জন্য অনেক ভুক্তভোগী এবং বিপুল অর্থের ক্ষতির জন্য সাজা দীর্ঘতর হতে থাকে৷,লক্ষ লক্ষ ডলারের মধ্যে বিপুল সংখ্যক লোককে বাইক করার ফলে দশ থেকে বিশ বছরের মধ্যে বিভিন্ন বাক্য হতে পারে।,neutral
