Q No.,Question,Answer
1,करण एक १४ साल का लड़का है। उसके दोनों हाथों में कुल कितनी उंगलियाँ हैं?,१०
2,५ लड़कियाँ और ५ लड़के हैंडबॉल खेल रहे हैं। उनके दाहिने हाथों में कुल कितनी उंगलियाँ हैं?,५०
3,पाँच दर्जन अंडों में कितने गंडे अंडे हैं?,१५
4,एक लड़का एक मैदान में ५ गायें चरा रहा है। वहाँ कुल कितने पैर हैं?,२२
5,एक कंपनी प्रतिदिन ७० यूनिट उत्पाद बनाती है। यदि वे जनवरी महीने में ५ दिन काम बंद रखें तो वे जनवरी महीने में कितने यूनिट उत्पादन करेंगे?,१८२०
6,एक दुकानदार के पास ताश के ७ डेक हैं। उसके पास कुल कितने लाल रंग के कार्ड हैं?,१८२
7,कॉपीराइट समस्या के कारण एक घंटे की मूवी का १५ मिनट का एक दृश्य काट दिया गया है। फिल्म की अंतिम लंबाई कितनी है (मिनटों में)?,४५
8,राजेश अपने बेटे से कहता है कि यदि आकाश में पक्षियों के कुल २० पंख हैं तो वहाँ कितने पक्षी होने चाहिए?,१०
9,राजेश अपनी पत्नी की प्रत्येक तर्जनी के लिए एक सोने की अंगूठी खरीदना चाहता है। यदि एक अंगूठी की कीमत २ लाख रुपये है तो राजेश को कितने लाख रुपये देने होंगे?,४
10,करण एक १८ साल का लड़का है। उसके हाथों में तर्जनी उंगली नहीं है। उसके दोनों हाथों में कुल कितनी उंगलियाँ हैं?,८
11,करण एक १८ साल का लड़का है। उसके दाहिने हाथ का अंगूठा और बाएँ हाथ की तर्जनी नहीं है। उसके दोनों हाथों में कुल कितनी उंगलियाँ हैं?,८
12,एक तालाब में २० मेंढक और १० मगरमच्छ रहते हैं। जानवरों की कुल आँखों की संख्या ज्ञात कीजिए।,६०
13,"७ लड़कियों का एक समूह नेल पॉलिश करवाने के लिए एक स्पा में गया। यदि प्रत्येक लड़की के पैरों की सभी उंगलियाँ पॉलिश की जाती हैं, तो स्पा कर्मियों द्वारा पॉलिश की गई कुल उंगलियों की संख्या कितनी है?",७०
14,"१३ लड़कियों का एक समूह नेल पॉलिश करवाने के लिए एक स्पा में गया। यदि प्रत्येक लड़की के हाथों की उंगलियाँ पॉलिश की जाती हैं, तो स्पा कर्मियों द्वारा पॉलिश की गई कुल उंगलियों की संख्या कितनी है?",१३०
