Q No.,Question,Answer,Domain,Sub-Domain
1,"यदि एक आयताकार बॉक्स की लंबाई १० इंच, चौड़ाई ५ इंच और ऊँचाई ३ इंच हो तो बॉक्स का कुल आयतन कितना है?",१५०,Math,Math
2,बेंजीन के १ अणु में कितने कार्बन होते हैं?,६,Chemistry,Chemistry
3,मीना २० मी/से की गति से १० मिनट दौड़े तो कितना रास्ता पार करेगी?,१२०००,Physics,Physics
4,फिटकरी के एक अणु में कितने ऑक्सीजन होते हैं?,४०,Chemistry,Chemistry
5,एक बॉक्स में ६ लाल और ४ सफेद गेंदें हैं। यदि एक गेंद यादृच्छिक रूप से निकाली जाए तो गेंद के लाल होने की प्रायिकता कितनी है?,०.६०,Math,Probability
6,दशमलव संख्या २५ का बाइनरी कितना है?,११००१,CS,CS
7,५% लाभ की दर से १० वर्षों में १०००० रुपये पर कितने रुपये का लाभ मिलेगा?,२५००,Math,Math
8,१ मोल इथेनॉल और १ मोल ऑक्सीजन के संयोजन से बनने वाले जल की मात्रा ग्राम में ज्ञात कीजिए।,१८,Chemistry,Chemistry
9,"एक बाइक ने ७ सेकंड में २१ मीटर की यात्रा की। बाइक की औसत गति कितने मीटर प्रति सेकंड है, ज्ञात कीजिए।",३,Physics,Physics
10,कार्बन मोनोऑक्साइड के ९ मोल का भार कितने ग्राम है?,२५२,Chemistry,Chemistry
11,एल्युमिनियम हाइड्रॉक्साइड में एल्युमिनियम का भार प्रतिशत में ज्ञात कीजिए।,३४.६,Chemistry,Chemistry
12,एक ट्रेन औसतन १० मी/सेकंड की गति से ८० मीटर की दूरी तय करती है। यात्रा की कुल अवधि कितनी है?,८,Physics,Physics
13,एक आदमी पहले दिन एक रुपया जमा करता है। अगले दिनों में वह पिछले दिन का दोगुना रुपया जमा करता है। इस प्रकार महीने के अंतिम दिन वह कितने रुपये जमा कर पाएगा?,५३६८७०९१२,Math,Math
14,जनवरी महीने में जतिन का जन्मदिन होने की संभावना कितनी है?,१/१२,Math,Probability
15,अप्रैल महीने की ३१ तारीख को जतिन का जन्मदिन होने की संभावना कितनी है?,०,Math,Probability
16,"यदि जतिन का जन्मदिन जनवरी महीने में है, तो जनवरी महीने की ३१ तारीख को जतिन का जन्मदिन होने की संभावना कितनी है?",१/३१,Math,Probability
17,"यदि अमित औसतन १०० मी/सेकंड की गति से १००० मीटर की प्रतियोगिता में भाग ले और प्रतियोगिता जीतने के लिए २० सेकंड से पहले प्रतियोगिता पूरी करनी हो, तो अमित के जीतने की संभावना कितनी है?",१,Math,Probability
18,"यदि अमित औसतन ५० मी/सेकंड की गति से १००० मीटर की प्रतियोगिता में भाग ले और प्रतियोगिता जीतने के लिए १० सेकंड से पहले प्रतियोगिता पूरी करनी हो, तो अमित के जीतने की संभावना कितनी है?",०,Math,Probability
19,३० डिग्री सेल्सियस तापमान कितने डिग्री फ़ारेनहाइट के बराबर है?,८६,Physics,Physics
20,-८०.६५ डिग्री सेल्सियस तापमान कितने डिग्री फ़ारेनहाइट के बराबर है?,-११३.१७,Physics,Physics
21,५० डिग्री फ़ारेनहाइट तापमान कितने डिग्री सेल्सियस के बराबर है?,१०,Physics,Physics
22,३०० केल्विन तापमान कितने डिग्री फ़ारेनहाइट के बराबर है?,८०.३३,Physics,Physics
23,३३०.७६ केल्विन तापमान कितने डिग्री सेल्सियस के बराबर है?,५७.६१,Physics,Physics
24,एक त्रिभुज के आधार की लंबाई १० मीटर और ऊँचाई २०० मीटर है। त्रिभुज का क्षेत्रफल कितना है?,१०००,Math,Solid Geometry
25,एक आयत की लंबाई ११.५ मीटर और चौड़ाई २२ मीटर है। आयत का क्षेत्रफल कितना है?,२५३,Math,Solid Geometry
26,एक वर्ग की भुजा ११.५ मीटर है। वर्ग का क्षेत्रफल कितना है?,१३२.२५,Math,Solid Geometry
27,एक वर्ग की भुजा ११.५ मीटर है। वर्ग के विकर्ण की लंबाई कितनी है?,१६.२६,Math,Solid Geometry
28,"एक ट्रेन स्थिर अवस्था से चलना शुरू करके ६०० मीटर की दूरी पार करती है तो ट्रेन का वेग १२० मी/से हो जाता है, त्वरण ज्ञात कीजिए।",१२,Physics,Physics
29,९.८ मी/से के वेग से एक पत्थर को ऊपर की ओर फेंका गया। यह कितने समय बाद भूमि पर वापस आएगा?,२,Physics,Physics
30,२००० मीटर ऊँचे एक टावर से एक पत्थर को नीचे की ओर गिराया गया। यह कितने समय बाद भूमि पर गिरेगा (गुरुत्वीय त्वरण g = १०)?,२०,Physics,Physics
31,एक वस्तु का द्रव्यमान १० किग्रा और आयतन १०० घन मीटर है। वस्तु का घनत्व कितना है?,०.१०,Physics,Physics
32,एक समकोण त्रिभुज का आधार १२ और लंब ५ हो तो कर्ण कितना है?,१३,Math,Solid Geometry
33,यदि किसी समुच्चय के सदस्यों की संख्या ५ हो तो उसके उचित उपसमुच्चयों की संख्या कितनी है?,३१,Math,Set Function
34,यदि किसी समुच्चय के सदस्यों की संख्या ३ हो तो उसके उचित उपसमुच्चयों की संख्या कितनी है?,७,Math,Set Function
35,यदि किसी समुच्चय के सदस्यों की संख्या ६ हो तो उसके उपसमुच्चयों की संख्या कितनी है?,६४,Math,Set Function
36,यदि किसी समुच्चय के सदस्यों की संख्या ५ हो तो उसके उपसमुच्चयों की संख्या कितनी है?,३२,Math,Set Function
37,"यदि A = {१,२,३,४} हो तो इसके उचित उपसमुच्चयों की संख्या कितनी है?",१५,Math,Set Function
38,"यदि A = {-१,१३,२०,५६,८९} हो तो इसके उचित उपसमुच्चयों की संख्या कितनी है?",३१,Math,Set Function
39,"यदि A = {-१,२०,१३७,६५६,९८९} हो तो इसके उपसमुच्चयों की संख्या कितनी है?",३२,Math,Set Function
40,"यदि A = {-१२३५,-२९०,१३४७,१५६७,८९२२,२०३३४} हो तो इसके उपसमुच्चयों की संख्या कितनी है?",६४,Math,Set Function
41,"A = {१,२,३,४,५} समुच्चय के घात समुच्चय (power set) के अवयवों की संख्या कितनी है?",३२,Math,Set Function
42,"यदि A = {१,४,६,८} हो, तो A x A ज्ञात करने पर कितने क्रमित युग्म प्राप्त होंगे?",१६,Math,Set Function
43,"A = {३,४,५,८} समुच्चय के घात समुच्चय (power set) के अवयवों की संख्या कितनी है?",१६,Math,Set Function
44,"यदि A = {१,२,३} हो, तो A x A ज्ञात करने पर कितने क्रमित युग्म प्राप्त होंगे?",९,Math,Set Function
45,"कुछ छात्र-छात्राओं में से ६० को क्रिकेट, ४० को फुटबॉल और २५ को दोनों खेल पसंद हैं। कम से कम एक खेल कितनों को पसंद है?",७५,Math,Set Function
46,६० छात्रों में से ४० हिंदी में और ३० अंग्रेज़ी में पास हुए। दोनों विषयों में २० पास हुए। तो केवल हिंदी में कितने पास हुए?,२०,Math,Set Function
47,६० छात्रों में से ४० हिंदी में और ३० अंग्रेज़ी में पास हुए। दोनों विषयों में २० पास हुए। तो कम से कम एक विषय में कितने पास हुए?,५०,Math,Set Function
48,६० छात्रों में से ४० हिंदी में और ३० अंग्रेज़ी में पास हुए। दोनों विषयों में २० पास हुए। तो दोनों विषयों में कितने फेल हुए?,१०,Math,Set Function
49,"यदि एक पहिये का व्यास १४ से.मी. हो, तो उसकी परिधि का निकटतम मान कितने से.मी. है?",४३.९८,Math,Trigonometry
50,"यदि एक पहिये का व्यास ३.१४१६ मीटर हो, तो पहिये की परिधि कितने मीटर है?",९.८७,Math,Trigonometry
51,पृथ्वी की त्रिज्या ६४४० कि.मी. है। दिल्ली और जयपुर पृथ्वी के केंद्र पर ३ डिग्री का कोण बनाते हैं। दिल्ली और जयपुर की दूरी कितने कि.मी. है?,३३७.२०,Math,Trigonometry
52,पृथ्वी की त्रिज्या ६४४० कि.मी. है। दिल्ली और मुंबई पृथ्वी के केंद्र पर ६ डिग्री का कोण बनाते हैं। दिल्ली और मुंबई की दूरी कितने कि.मी. है?,६७४.३९,Math,Trigonometry
53,"यदि दो पहियों की परिधि का अंतर ९० से.मी. हो, तो उनकी त्रिज्याओं का अंतर कितने से.मी. है?",१४.३२,Math,Trigonometry
54,"यदि दो पहियों की परिधि का अंतर ४० से.मी. हो, तो उनके व्यासों का अंतर कितने से.मी. है?",१२.७३,Math,Trigonometry
55,"यदि दो पहियों की परिधि का अंतर १२० से.मी. हो, तो उनकी त्रिज्याओं का अंतर कितने से.मी. है?",१९.०९,Math,Trigonometry
56,"यदि दो पहियों की परिधि का अंतर ७० से.मी. हो, तो उनके व्यासों का अंतर कितने से.मी. है?",२२.२८,Math,Trigonometry
57,"यदि दो पहियों की परिधि का अंतर १२० से.मी. हो, तो उनके व्यासों का अंतर कितने से.मी. है?",३८.१९,Math,Trigonometry
58,"यदि दो पहियों की परिधि का अंतर ७० से.मी. हो, तो उनकी त्रिज्याओं का अंतर कितने से.मी. है?",११.१४,Math,Trigonometry
59,"एक पहिया १.७५ कि.मी. रास्ता तय करने में ४० बार घूमता है, पहिये की त्रिज्या कितने मीटर है?",६.९६,Math,Trigonometry
60,"एक पहिया १.७५ कि.मी. रास्ता तय करने में ३० बार घूमता है, पहिये की त्रिज्या कितने मीटर है?",९.२८,Math,Trigonometry
61,"एक पहिया ४ कि.मी. रास्ता तय करने में ७० बार घूमता है, पहिये का व्यास कितने मीटर है?",१८.१८,Math,Trigonometry
62,"एक पहिया ३.२५ कि.मी. रास्ता तय करने में २५ बार घूमता है, पहिये का व्यास कितने मीटर है?",४१.३८,Math,Trigonometry
