Q No.,Question,Answer,Domain,Sub-Domain
479,१९ मोल फ्लोरीन का आणविक भार कितना है?,७२२,Chemistry,Chemistry
82,२ से.मी. व्यास वाले वृत्त का ८ से.मी. लंबा एक चाप केंद्र पर कितने रेडियन का कोण बनाता है?,८,Math,Trigonometry
78,एक वृत्त का व्यास ५ से.मी. है। वृत्त में १५ से.मी. लंबे चाप के केंद्रीय कोण का मान कितने रेडियन है?,६,Math,Trigonometry
209,दो सिक्के उछालने पर अधिक से अधिक एक हेड आने की प्रायिकता कितनी है?,३/४,Math,Probability
320,स्थिर अवस्था से एक ट्रेन २० मी./से.^२ समान त्वरण से चलते समय २५० मीटर दूरी पर स्थित एक पोस्ट को कितने मी./से. वेग से पार करेगी?,१००,Physics,Physics
327,मुक्त रूप से गिरती हुई वस्तु ६ सेकंड में ७२ मीटर दूरी तय करे तो ३ सेकंड में कितनी दूरी तय करेगी?,१८,Physics,Physics
249,२००० में फरवरी महीने में ५ दिन बारिश हुई थी। १२ फरवरी को बारिश होने की प्रायिकता कितनी है?,५/२९,Math,Probability
325,स्थिर अवस्था से बिना बाधा के वस्तु को छोड़ने पर चार गुनी दूरी पर वेग कितने गुना बढ़ जाएगा?,१,Physics,Physics
621,ग्लूकोज़ में ऑक्सीजन की प्रतिशत मात्रा कितनी है?,५३.३३,Chemistry,Chemistry
121,एक गाड़ी के पहिये का व्यास ०.८ मीटर है और पहिया प्रति सेकंड ६ बार घूमता है। गाड़ी की गति कितने किलोमीटर/घंटा है?,५४.२८,Math,Trigonometry
159,६ से.मी. त्रिज्या वाले एक धातु के ठोस गोले को पिघलाकर ३२ से.मी. ऊँचाई का एक सिलिंडर बनाया गया। बने सिलिंडर की त्रिज्या कितने से.मी. है?,३,Math,Solid Geometry
166,६ से.मी. त्रिज्या वाले एक धातु के ठोस गोले को पिघलाकर ३२ से.मी. ऊँचाई का एक सिलिंडर बनाया गया। बने सिलिंडर के वक्र पृष्ठ का क्षेत्रफल कितने वर्ग से.मी. है?,६०३.१८,Math,Solid Geometry
397,१० किग्रा द्रव्यमान की एक स्थिर वस्तु पर १० सेकंड तक २२ न्यूटन बल लगाया गया। वस्तु जिस तल पर चल रही थी उसके घर्षण बल का मान २ न्यूटन है। १० सेकंड बाद वस्तु का वेग कितने मी./से. है?,२०,Physics,Physics
278,यदि वर्नियर स्केल के १० खाने मुख्य स्केल के ९ खानों के बराबर हों तो वर्नियर स्थिरांक कितने से.मी. है?,०.०१,Physics,Physics
232,दो पासे निष्पक्ष रूप से फेंके जाएँ तो पासों के ऊपरी फलक पर एक ही संख्या न आने की प्रायिकता कितनी है?,५/६,Math,Probability
119,५० डिग्री कोण के पूरक कोण को वृत्तीय पद्धति में व्यक्त करने पर कितना होगा?,०.६९,Math,Trigonometry
134,एक समकोण त्रिभुज के लंब और आधार क्रमशः ५ और १२ हों तो इसका कर्ण कितना है?,१३,Math,Trigonometry
580,सल्फ्यूरिक एसिड में सल्फर का संघटन कितना है?,३२.६५,Chemistry,Chemistry
200,यदि एक पिरामिड के आधार का क्षेत्रफल ४ वर्ग से.मी. और ऊँचाई ३ से.मी. हो तो पिरामिड का आयतन कितने घन से.मी. है?,४,Math,Solid Geometry
132,०.२० मीटर व्यास वाला एक पहिया एक बार घूमने पर कितने मीटर की दूरी तय करेगा?,०.६२,Math,Trigonometry
55,"यदि दो पहियों की परिधि का अंतर १२० से.मी. हो, तो उनकी त्रिज्याओं का अंतर कितने से.मी. है?",१९.०९,Math,Trigonometry
