Q No.,Question,Answer
1,बेंजीन के १ अणु में _____ कार्बन परमाणु होते हैं।,६
2,५% लाभ की दर से १० वर्षों में १०००० रुपये पर _____ रुपये का लाभ मिलेगा।,५०००
3,नवीन के पास ५ रुपये थे। दुकान में उसने एक नए खेल पर २ रुपये खर्च किए। यदि उसे अपने भत्ते के ५ रुपये और मिलें तो उसके पास अब _____ रुपये हैं।,८
4,बबलू ४ मील प्रति घंटे की गति से ५ मील चला। बबलू _____ घंटे चलता रहा।,१.२५
5,११ दोस्त ऑनलाइन एक वीडियो गेम खेल रहे थे तभी ५ खिलाड़ी छोड़कर चले गए। यदि प्रत्येक खिलाड़ी के पास ५ जीवन (लाइफ) हों तो उनके पास कुल _____ जीवन थे।,३०
6,पार्क में वर्तमान में ९ ओक के पेड़ हैं। पार्क के कर्मचारी २ नए ओक के पेड़ लगा रहे हैं। कर्मचारियों का काम पूरा होने पर पार्क में _____ ओक के पेड़ होंगे।,११
7,"राजेश ने १ मीटर लंबी एक रेखा खींची। फिर उसे लगा कि यह कुछ लंबी है। इसलिए, उसने इसका ३३ सेंटीमीटर मिटा दिया। फलस्वरूप रेखा की लंबाई अब _____ से.मी. है।",६७
8,तुषार दुकान से पाँच दर्जन अंडे लेकर घर गया। घर जाकर उसने देखा कि ३ अंडे खराब हैं। फलस्वरूप तुषार के पास _____ अच्छे अंडे हैं।,५७
9,सैली के पास २७ पोकेमॉन कार्ड थे। डैन ने उसे ४१ नए पोकेमॉन कार्ड दिए। सैली ने २० पोकेमॉन कार्ड खो दिए। सैली के पास अब _____ पोकेमॉन कार्ड हैं।,४८
10,पार्क में ६ अखरोट के पेड़ हैं। पार्क के कर्मचारी आज ४ पेड़ हटाएँगे। कर्मचारियों का काम पूरा होने के बाद पार्क में _____ अखरोट के पेड़ रहेंगे।,२
11,स्पर्स बास्केटबॉल टीम में २२ खिलाड़ी हैं। प्रत्येक खिलाड़ी के पास ११ बास्केटबॉल हैं। उन सबके पास मिलाकर _____ बास्केटबॉल हैं।,२४२
12,जोआन इस साल १४ फुटबॉल मैच देखने गई। वह इस साल और पिछले साल कुल ३१ मैच देखने गई। जोआन पिछले साल _____ फुटबॉल मैच देखने गई थी।,१७
13,सुमित एक १८ साल का लड़का है। उसके दाहिने हाथ का अंगूठा और बाएँ हाथ की तर्जनी नहीं है। उसके दोनों हाथों में कुल _____ उंगलियाँ हैं।,८
14,१२ कलम और ३० कॉपियों का मूल्य मिलाकर १९२ रुपये है। यदि एक कलम का मूल्य २ रुपये हो तो एक कॉपी का मूल्य _____ रुपये है।,५.६०
15,मीना ४ मिनट में २०० मीटर चलती है। आधे घंटे में वह _____ मीटर चल सकेगी।,१५००
16,"तीन संख्याओं का योग ५४५२ है। तीनों संख्याएँ हैं २५६३, _____ और १२४५।",१६४४
17,तुषार दुकान से चार दर्जन अंडे लेकर घर गया। घर जाकर उसने देखा कि ५ अंडे खराब हैं और _____ अच्छे अंडे हैं।,४३
18,नीला के पास ९ नीले गुब्बारे थे और उसे २ और मिले। नीला के पास अब _____ नीले गुब्बारे हैं।,११
19,सीता की तुलना में रोहन के पास ३९० रुपये अधिक हैं। श्याम की तुलना में सीता के पास ४७० रुपये कम हैं। श्याम के पास ८९० रुपये हैं। सीता के पास _____ रुपये हैं।,४२०
20,एक पार्क में एक बरगद का पेड़ और एक चीड़ (पाइन) का पेड़ है। १५० वर्ष पहले दोनों पेड़ों की आयु का योग २९६१ वर्ष था। वर्तमान में चीड़ के पेड़ की आयु १४३२ वर्ष है। ३०० वर्ष बाद बरगद के पेड़ की आयु _____ वर्ष होगी।,२१२९
21,माँ और पुत्र की आयु का योग ६० वर्ष है। माँ की आयु पुत्र की आयु की ३ गुनी है। तो माँ की आयु _____ वर्ष है।,४५
22,रीना ने १५३ रुपये में ३ कॉपियाँ खरीदीं। तो २२ कॉपियाँ खरीदने के लिए उसे _____ रुपये लगेंगे।,११२२
23,५ गायों और ३ बकरियों का मूल्य मिलाकर ४५०८०० रुपये है। एक बकरी का मूल्य ४५६० रुपये है। तो एक गाय का मूल्य _____ रुपये है।,८७४२४
24,रतन और धीरज का वेतन मिलाकर १९९५० रुपये है। रतन की तुलना में धीरज २४५० रुपये अधिक पाता है। रतन _____ रुपये वेतन पाता है।,८७५०
25,"अमित के पास १० रुपये के १० नोट, २० रुपये के १० नोट और ५० रुपये के १० नोट हैं। तो न्यूनतम _____ नोटों का उपयोग करके वह १९० रुपये चुका सकेगा।",५
26,"अमित के पास १० रुपये के १० नोट, २० रुपये के १० नोट और ५० रुपये के १० नोट हैं। तो न्यूनतम _____ नोटों का उपयोग करके वह २०० रुपये चुका सकेगा।",४
27,२५ लीटर ५० लीटर का _____ % है।,१२.५०
28,१२० किलोग्राम का २०% _____ किलोग्राम है।,२४
29,१६ लोग _____ लोगों का ३२% हैं।,५०
30,"इसाबेला के बाल १८ इंच लंबे हैं। यदि वह ४ इंच काट दे, तो उसके बाल _____ इंच लंबे होंगे।",१४
31,सिंडी की माँ ने ४१ कुकीज़ बनाईं। यदि पॉल के पिता ३० खा लें तो _____ कुकीज़ बची हैं।,११
32,"एक सिनेमा थिएटर वयस्कों के लिए ७.५० रुपये और बच्चों के लिए ४.५० रुपये लेता है। एक सिनेमा दिखाने की रसीद ५४० रुपये थी। यदि ८० टिकट बिके, तो _____ वयस्क टिकट बिके।",६०
33,"दो संख्याओं का योग १८ है। यदि छोटी संख्या का दोगुना बड़ी संख्या से ६ अधिक हो, तो बड़ी संख्या _____ होगी।",८
34,मेलिसा के पास ८८ केले हैं। जोशुआ ने मेलिसा के साथ ४ और साझा किए। मेलिसा के पास _____ केले होंगे।,९२
35,"एक संख्या दूसरी के दोगुने से ९ कम है, और उनका योग ४२ है। बड़ी संख्या _____ है।",२५
36,"दो संख्याओं में से एक दूसरी की तीन गुनी है। यदि उनका योग १२४ हो, तो बड़ी संख्या _____ है।",८
37,"एक पूर्णांक दूसरे का दोगुना है, और उनका योग ९६ है। बड़ा पूर्णांक _____ है।",९३
38,"इस साल एक स्पोर्ट यूटिलिटी व्हीकल का मूल्य १६००० डॉलर है, जो पिछले साल के मूल्य का ०.८ गुना है। पिछले साल गाड़ी का मूल्य _____ डॉलर था।",२००००
39,यदि ५ और एक संख्या का योग २० हो तो संख्या _____ है।,१५
40,एडम ने बिल्ली के खाने के ९ पैकेज खरीदे जिनमें प्रत्येक में १० कैन थे। इसके अलावा उसने कुत्ते के खाने के ७ पैकेज खरीदे जिनमें प्रत्येक के अंदर ५ कैन हैं। उसके पास कुल मिलाकर पालतू भोजन के _____ कैन हैं।,१२५
41,पिता और पुत्र की वर्तमान आयु का अंतर १५ वर्ष है। ३० वर्ष बाद उनकी आयु का अंतर _____ वर्ष होगा।,१५
42,१७१६ मीटर लंबे एक भार को ७८ बराबर भागों में बाँटा जाए तो प्रत्येक भाग की लंबाई _____ मीटर होगी।,२२
43,यदि ८५ किलो चावल का दाम २२९५ रुपये हो तो १ किलो चावल का दाम _____ रुपये है।,२७
44,तुम्हारे पास २७८४ मोती हैं। एक माला बनाने में ९८ मोती लगते हैं। सभी मोतियों का उपयोग करके तुम ऐसी _____ मालाएँ बना सकोगे।,२८
45,५०० पेंसिलों में से प्रत्येक बॉक्स में १२ पेंसिलें रखने पर _____ बॉक्सों की आवश्यकता होगी।,४१
46,तुम ९९ खिलाड़ियों में से ११ सदस्यों वाली _____ फुटबॉल टीमें बना सकोगे।,९
47,रूपा और मणि के पास मिलाकर ८७५ रुपये हैं। मणि के पास रूपा से १२५ रुपये अधिक हैं। मणि के पास _____ रुपये हैं।,५००
48,पिता-पुत्र की आयु का योग ५५ वर्ष है। पिता की आयु पुत्र की आयु की ४ गुनी है। अलग-अलग पिता और पुत्र की आयु _____ वर्ष है।,४४
49,४ मुर्गियों और ३ बत्तखों का दाम मिलाकर ६३९ रुपये है। यदि १ बत्तख का दाम ८५ रुपये हो तो १ मुर्गी का दाम _____ रुपये है।,९६
50,_____ संख्या १५४३ से ५०० बड़ी है।,२०४३
51,"गाँव वालों ने गाँव की सड़क की मरम्मत के लिए पैसा इकट्ठा करने का निर्णय लिया। गाँव में ३२४ परिवार हैं। यदि प्रत्येक परिवार २५० रुपये जमा करे, तो कुल _____ रुपये होंगे।",८१०००
52,"एक कंपनी के व्यवसाय में ९५२०० रुपये का लाभ हुआ और उसे कर्मचारियों में बराबर बाँटने का निर्णय हुआ। यदि प्रत्येक कर्मचारी को ८०० रुपये मिलें, तो कंपनी में _____ कर्मचारी काम करते हैं।",११९
53,आलोक बाबू का मासिक वेतन ९८७० रुपये है। हर महीने वे ३८०० रुपये मकान किराए में और ५६५० रुपये परिवार की ज़रूरतों में खर्च करते हैं। शेष रुपये वे एक बैंक में जमा करते हैं। वे साल में _____ रुपये बैंक में जमा करते हैं।,५०४०
54,१८ अंडों का दाम ७२ रुपये है। तो ऐसे १५ अंडे खरीदने के लिए _____ रुपये की आवश्यकता है।,६०
55,४ कलमों का मूल्य ८० रुपये है। १० कलमों का मूल्य _____ रुपये है।,२००
56,१२ प्लेटों और २० कपों का मूल्य मिलाकर ३९२० रुपये है। एक कप का मूल्य १४५ रुपये है और एक प्लेट का मूल्य _____ रुपये है।,८५
57,"एक किराने की दुकान में एक कॉपी १८ रुपये में, एक पेंसिल ८ रुपये में और एक ज्यामितीय त्रिकोण (सेट स्क्वायर) २५ रुपये में बिकता है। हम ४ कॉपियाँ, ८ पेंसिलें और २ ज्यामितीय त्रिकोण खरीदते समय ५०० रुपये दें तो _____ रुपये वापस पाएँगे।",३१४
