Q No.,Question,Answer
1,"ललिता के बाल ८ इंच लंबे हैं। यदि वह ३ इंच काट दे, तो उसके बाल कितने लंबे होंगे?",५
2,रोहन की माँ ने २१ पीठे (मीठे पकवान) बनाए। करण के पिता ने ९ खा लिए। कितनी कुकीज़ बची हैं?,१२
3,"एक सिनेमा थिएटर वयस्कों के लिए ७.५० रुपये और बच्चों के लिए ४.५० रुपये लेता है। एक सिनेमा दिखाने की रसीद ५४० रुपये थी। यदि ८० टिकट बिके, तो पता कीजिए कितने वयस्क टिकट बिके।",६०
4,"दो संख्याओं का योग १८ है। यदि छोटी संख्या का दोगुना बड़ी संख्या से ६ अधिक हो, तो छोटी संख्या ज्ञात कीजिए।",८
5,मेलिसा के पास ८८ केले हैं। जोशुआ ने मेलिसा के साथ ४ और साझा किए। मेलिसा के पास कितने केले होंगे?,९२
6,वह छोटी संख्या ढूँढ़िए जिनका योग १४७ है और एक दूसरी के ०.३७५ गुने से ४ बड़ी है।,४३
7,"एक संख्या दूसरी के दोगुने से ९ कम है, और उनका योग ४२ है। बड़ी संख्या कितनी है?",२५
8,"दो संख्याओं का योग १८ है। यदि छोटी संख्या का दोगुना बड़ी संख्या से ६ अधिक हो, तो छोटी संख्या और बड़ी संख्या ज्ञात कीजिए।",८
9,"दो संख्याओं में से एक दूसरी की तीन गुनी है। यदि उनका योग १२४ हो, तो बड़ी संख्या कितनी है?",९३
10,"एक पूर्णांक दूसरे का दोगुना है, और उनका योग ९६ है। बड़ा पूर्णांक ढूँढ़िए।",६४
11,"इस साल एक गाड़ी का मूल्य १६००० डॉलर है, जो पिछले साल के मूल्य का ०.८ गुना है। पिछले साल गाड़ी का मूल्य कितना था?",२००००
12,"मान लीजिए आपने १०००० डॉलर निवेश किए, कुछ भाग ६% वार्षिक ब्याज पर और बाकी ९% वार्षिक ब्याज पर। यदि आपको एक साल बाद ६८४ डॉलर ब्याज मिला हो, तो आपने ६% वार्षिक ब्याज पर कितने रुपये निवेश किए?",७२००
13,५ और एक संख्या का योग २० है। संख्या ज्ञात कीजिए।,१५
14,एडम ने बिल्ली के खाने के ९ पैकेज खरीदे जिनमें प्रत्येक में १० कैन थे। इसके अलावा उसने कुत्ते के खाने के ७ पैकेज खरीदे जिनमें प्रत्येक के अंदर ५ कैन हैं। उसके पास कुल मिलाकर पालतू भोजन के कितने कैन हैं?,१२५
15,"एक विमान दो अलग-अलग विंग टैंकों में जमा कुल ३६ गैलन ईंधन के साथ एक उड़ान शुरू करता है। उड़ान के दौरान, एक टैंक का २५% ईंधन उपयोग होता है और दूसरे टैंक का ३७.५% ईंधन उपयोग होता है। यदि कुल उपयोग हुआ ईंधन ११.२ गैलन हो, तो प्रत्येक टैंक में कितना ईंधन जमा है?",१८.४०
16,नीला के पास ९ नीले गुब्बारे थे और उसे २ और मिले। नीला के पास अब कितने नीले गुब्बारे हैं?,११
17,पिता और पुत्र की वर्तमान आयु का अंतर १५ वर्ष है। ३० वर्ष बाद उनकी आयु का अंतर कितना होगा?,१५
18,१७१६ मीटर लंबे एक भार को ७८ बराबर भागों में बाँटा जाए तो प्रत्येक भाग की लंबाई कितने मीटर होगी?,२२
19,यदि ८५ किलो चावल का दाम २२९५ रुपये हो तो १ किलो चावल का दाम कितना है?,२७
20,तुम्हारे पास २७८४ मोती हैं। एक माला बनाने में ९८ मोती लगते हैं। सभी मोतियों का उपयोग करके तुम ऐसी कितनी मालाएँ बना सकोगे?,२८
21,५०० पेंसिलों में से प्रत्येक बॉक्स में १२ पेंसिलें रखने पर कितने बॉक्सों की आवश्यकता होगी?,४२
22,तुम ९९ खिलाड़ियों में से ११ सदस्यों वाली कितनी फुटबॉल टीमें बना सकोगे?,९
23,रूपा और मणि के पास मिलाकर ८७५ रुपये हैं। मणि के पास रूपा से १२५ रुपये अधिक हैं। मणि के पास कितने रुपये हैं?,५००
24,रूपा और मणि के पास मिलाकर ८७५ रुपये हैं। मणि के पास रूपा से १२५ रुपये अधिक हैं। रूपा के पास कितने रुपये हैं?,३७५
25,पिता-पुत्र की आयु का योग ५५ वर्ष है। पिता की आयु पुत्र की आयु की ४ गुनी है। पिता की आयु कितनी है?,४४
26,४ मुर्गियों और ३ बत्तखों का दाम मिलाकर ६३९ रुपये है। यदि १ बत्तख का दाम ८५ रुपये हो तो १ मुर्गी का दाम कितना है?,९६
27,ऐसी एक संख्या ज्ञात कीजिए जो १५४३ से ५०० बड़ी है।,२०४३
28,"गाँव वालों ने गाँव की सड़क की मरम्मत के लिए पैसा इकट्ठा करने का निर्णय लिया। गाँव में ३२४ परिवार हैं। यदि प्रत्येक परिवार २५० रुपये जमा करे, तो कुल कितने रुपये होंगे?",८१०००
29,"एक कंपनी के व्यवसाय में ९५२०० रुपये का लाभ हुआ और उसे कर्मचारियों में बराबर बाँटने का निर्णय हुआ। यदि प्रत्येक कर्मचारी को ८०० रुपये मिलें, तो कर्मचारियों की संख्या कितनी है?",११९
30,आलोक बाबू का मासिक वेतन ९८७० रुपये है। हर महीने वे ३८०० रुपये मकान किराए में और ५६५० रुपये परिवार की ज़रूरतों में खर्च करते हैं। शेष रुपये वे एक बैंक में जमा करते हैं। वे साल में कितने रुपये बैंक में जमा करते हैं?,५०४०
31,१८ अंडों का दाम ७२ रुपये है। ऐसे १५ अंडे खरीदने के लिए कितने रुपयों की आवश्यकता है?,६०
32,४ कलमों का मूल्य ८० रुपये है। १० कलमों का मूल्य कितना है?,२००
33,१२ प्लेटों और २० कपों का मूल्य मिलाकर ३९२० रुपये है। एक कप का मूल्य १४५ रुपये है। एक प्लेट का मूल्य कितना है?,८५
34,"एक किराने की दुकान में एक कॉपी १८ रुपये में, एक पेंसिल ८ रुपये में और एक ज्यामितीय त्रिकोण (सेट स्क्वायर) २५ रुपये में बिकता है। हम ४ कॉपियाँ, ८ पेंसिलें और २ ज्यामितीय त्रिकोण खरीदते समय ५०० रुपये दें तो कितने रुपये वापस पाएँगे?",३१४
35,एक मोटरसाइकिल १२ लीटर पेट्रोल से ३०० कि.मी. जा सकती है। १०० कि.मी. जाने के लिए कितने लीटर पेट्रोल लगेगा?,४
36,२ गायों और ३ बकरियों का मूल्य मिलाकर ४५०८० रुपये है। एक बकरी का मूल्य ४५६० रुपये है। एक गाय का मूल्य कितना है?,१५७००
37,जयराम बाबू का मासिक वेतन ८७६५ रुपये है। हर महीने वे ३२२५ रुपये मकान किराए और ४८५० रुपये अन्य चीज़ें खरीदने में खर्च करते हैं। शेष रुपये वे बैंक में जमा करते हैं। वे ८ महीनों में कितने रुपये जमा करते हैं?,५५२०
38,सरिता और कविता का वेतन मिलाकर १९९५० रुपये है। सरिता की तुलना में कविता २४५० रुपये अधिक पाती है। सरिता का वेतन कितना है?,८७५०
39,सरिता और कविता का वेतन मिलाकर १९९५० रुपये है। सरिता की तुलना में कविता २४५० रुपये अधिक पाती है। कविता का वेतन कितना है?,११२००
40,राजू और मोनू के पास मिलाकर ६९० लीची हैं। राजू की तुलना में मोनू के पास ८६ लीची कम हैं। राजू के पास कितनी लीची हैं?,३८८
41,राजू और मोनू के पास मिलाकर ६९० लीची हैं। राजू की तुलना में मोनू के पास ८६ लीची कम हैं। मोनू के पास कितनी लीची हैं?,३०२
42,माँ और पुत्र की आयु का योग ६० वर्ष है। माँ की आयु पुत्र की आयु की ३ गुनी है। माँ की आयु कितनी है?,४५
43,माँ और पुत्र की आयु का योग ६० वर्ष है। माँ की आयु पुत्र की आयु की ३ गुनी है। पुत्र की आयु कितनी है?,१५
44,"भाजक ७८, भागफल २५ और शेषफल भाजक का एक-तिहाई है। भाज्य कितना है?",१९७६
45,"भाज्य ८९०३, भाजक ८७ और शेषफल २९ है। भागफल कितना है?",१०२
46,एक कारखाने में ७ दिनों में २५२० साइकिलें बनती हैं। उस कारखाने में ३ सप्ताह में कितनी साइकिलें बनेंगी?,७५६०
47,आरती ने ७२ रुपये में ३ कॉपियाँ खरीदीं। १२ कॉपियाँ खरीदने के लिए उसे कितने रुपये लगेंगे?,२८८
48,"यदि ८ किलो पुलाव के चावल का मूल्य ९६० रुपये हो, तो ४८०० रुपये में कितने किलो चावल खरीदे जा सकेंगे?",४०
49,गीता के पास ११/६ लीटर और मनन के पास १३/६ लीटर जूस है। मनन के पास कितने लीटर जूस अधिक है?,१/३
50,७/५ मीटर और ४/५ मीटर लंबाई के दो फीते मिलाकर कितने मीटर हैं?,११/५
51,गीता के पास १३/८ लीटर और मनन के पास ११/६ लीटर जूस है। मनन के जूस की मात्रा कितनी अधिक है?,५/२४
52,एक बॉक्स आइसक्रीम बनाने में २/७ लीटर दूध की आवश्यकता होती है। ऐसे ३ बॉक्स आइसक्रीम बनाने के लिए कितने लीटर दूध की आवश्यकता है?,६/७
53,एक बोर्ड के ३/४ वर्ग मीटर को रंगने में १ डेसीलीटर रंग लगता है। ४ डेसीलीटर रंग से कितने वर्ग मीटर रंगा जा सकेगा?,३
