Q No.,Question,Answer
1,করিম একজন ১৪ বছরের ছেলে। তার দুটি হাতে মোট কতটি আঙুল?,১০
2,৫ জন মেয়ে ও ৫ জন ছেলে হ্যান্ডবল খেলছে। তাদের ডান হাতে মোট কয়টি আঙ্গুল আছে?,৫০
3,পাঁচ ডজন ডিমের মধ্যে কয় হালি ডিম আছে? ,১৫
4,একটা ছেলে একটা মাঠে ৫টা গরু চড়াচ্ছে। ঐখানে মোট কয়টা পা আছে?,২২
5,একটি কোম্পানি প্রতিদিন ৭০ ইউনিট পণ্য উত্পাদন করে। যদি তারা জানুয়ারী মাসে ৫ দিন কাজ বন্ধ রাখে তবে তারা জানুয়ারী মাসে কত ইউনিট উত্পাদন করবে?,১৮২০
6,একজন দোকানদারের কাছে তাস খেলার ৭টি ডেক রয়েছে। তার মোট কয়টি লাল রঙের কার্ড আছে?,১৮২
7,কপিরাইট সমস্যার কারণে এক ঘণ্টার মুভির ১৫ মিনিটের একটি দৃশ্য কাটা হয়েছে। সিনেমার চূড়ান্ত দৈর্ঘ্য কত (মিনিটের মধ্যে)?,৪৫
8,আব্দুল্লাহ তার ছেলেকে বলে যে আকাশে যদি মোট ২০টি পাখির ডানা থাকে তবে সেখানে কতটি পাখি থাকা উচিত?,১০
9,আব্দুল্লাহ তার স্ত্রীর প্রতিটি তর্জনীর জন্য একটি সোনার আংটি কিনতে চায়। যদি একটি আংটির দাম ২ লক্ষ টাকা হয় তবে আব্দুল্লাহকে কত লক্ষ টাকা দিতে হবে?,৪
10,করিম একজন ১৮ বছরের ছেলে। তার হাতে তর্জনী আঙুল নেই। তার দুটি হাতে মোট কতটি আঙুল?,৮
11,করিম একজন ১৮ বছরের ছেলে। তার ডান হাতের বুড়ো আঙুল ও বাম হাতের  তর্জনী নেই। তার দুটি হাতে মোট কতটি আঙুল?,৮
12,একটি পুকুরে ২০টি ব্যাঙ এবং ১০টি কুমির থাকে। প্রাণীর মোট চোখের সংখ্যা নির্ণয় করুন।,৬০
13,৭ জন মেয়ের একটি দল নেইল পলিশ করার জন্য একটি স্পাতে গিয়েছিল। যদি প্রতিটি মেয়ের পায়ের সমস্ত আঙ্গুল পালিশ করা হয়। স্পা কর্মীদের পালিশ করা মোট আঙ্গুলের সংখ্যা কত?,৭০
