Q No.,Premise,Hypothesis,Answer
1,"चूँकि आप अच्छे हैं, आपने नकुल को २ बेसबॉल कार्ड दिए।","चूँकि आप अच्छे हैं, आपने नकुल को २ से अधिक बेसबॉल कार्ड दिए।",contradiction
2,मोली एक काम १० दिनों में कर सकती है जबकि जोली वह काम ३० दिनों में कर सकती है।,मोली एक काम ७० दिनों में कर सकती है जबकि जोली वह काम ३० दिनों में कर सकती है।,contradiction
3,"सैम, सुरेश और संकेत १४०० मीटर दौड़ते हैं।","सैम, सुरेश और संकेत ५४०० मीटर दौड़ते हैं।",contradiction
4,रोशन ने ६५ किताबें खरीदीं।,रोशन ने २५ से भी अधिक किताबें खरीदीं।,Entailment
5,हरकमल ने ७० रुपये प्रति किलो की दर से २ किलो से अधिक अंगूर और ५५ रुपये प्रति किलो की दर से ९ किलो आम खरीदे।,हरकमल ने ७० रुपये प्रति किलो की दर से ८ किलो अंगूर और ५५ रुपये प्रति किलो की दर से ९ किलो आम खरीदे थे।,neutral
6,अशोक और प्यारेलाल ने मिलकर एक व्यवसाय में पैसा निवेश किया था और अशोक की पूँजी प्यारेलाल की १/९ है।,अशोक और प्यारेलाल ने एक व्यवसाय में मिलकर पैसा निवेश किया था और अशोक की पूँजी प्यारेलाल के ३/९ से कम है।,Entailment
7,छह साल पहले कुणाल और सागर की आयु का अनुपात ६:५ था,छह साल पहले कुणाल और सागर की आयु का अनुपात ६:५ से अधिक था,contradiction
8,पाँच साल पहले कुणाल और सागर की आयु का अनुपात ३:२ था,पाँच साल पहले सागर और कुणाल की आयु का अनुपात ३:२ था,contradiction
9,दस साल पहले कुणाल और सागर की आयु का अनुपात १२:८ था,दस साल पहले कुणाल और सागर की आयु का अनुपात ३:२ था,Entailment
10,दस साल पहले कुणाल और सागर की आयु का अनुपात १२:८ था,पाँच साल पहले सागर और कुणाल की आयु का अनुपात ३:२ था,contradiction
11,बिली के पास १ से अधिक सेब हैं,बिली के पास ५ सेब हैं,neutral
12,मेरी जेनी से १० साल छोटी है,मेरी जेनी से २० साल छोटी है,contradiction
13,अनीता चली जाती है और काम पूरा होने के ७ दिन पहले इंदु भी चली जाती है,अनीता चली जाती है और काम पूरा होने के ७ दिन से भी कम समय पहले इंदु चली जाती है,contradiction
14,मेरी जेनी से १० साल छोटी है,मेरी जेनी से १० साल बड़ी है,contradiction
15,मेरी जेनी से २० साल छोटी है,जेनी मेरी से २० साल बड़ी है,Entailment
16,टिया की आयु १४ वर्ष है।,टिया की आयु १५ वर्ष है।,contradiction
17,"एक $ ५,००० का पुरस्कार दिया जाता है।",कुछ जानते हैं? ६४१-२२८-१८२ नंबर पर कॉल करें। एक पुरस्कार दिया जाता है,neutral
18,वेरिडैक्स कॉर्पोरेशन में २५० कर्मचारी हैं,वेरिडैक्स कॉर्पोरेशन में ६५० से भी कम कर्मचारी हैं।,Entailment
19,"स्टुअर्ट फार्म में भेड़ों की संख्या और घोड़ों की संख्या के बीच अनुपात २ से ७ है। यदि प्रत्येक घोड़े को प्रतिदिन २३० औंस घोड़े का खाना खिलाया जाए और फार्म में प्रतिदिन कुल १२,८८० औंस घोड़े के खाने की आवश्यकता हो, तो क्या होगा? फार्म में भेड़ों की संख्या कितनी है?","स्टुअर्ट फार्म में भेड़ों की संख्या और घोड़ों की संख्या के बीच अनुपात २ से ७ से अधिक है। यदि प्रत्येक घोड़े को प्रतिदिन २३० औंस घोड़े का खाना खिलाया जाए और फार्म में प्रतिदिन कुल १२,८८० औंस घोड़े के खाने की आवश्यकता हो, तो क्या होगा? फार्म में भेड़ों की संख्या कितनी है?",contradiction
20,उसके बाद से १.२ मिलियन से अधिक लोगों ने इसे देखा है।,यूट्यूब पर १.२ मिलियन से अधिक लोगों ने इसे देखा है,Entailment
21,जो ६० मील प्रति घंटे की गति से ४२० मील गाड़ी चलाता है और फिर वह अगले १२० मील ४० मील प्रति घंटे की गति से चलाता है,"जो ६० मील प्रति घंटे की गति से १२० मील गाड़ी चलाता है, और फिर वह अगले १२० मील ४० मील प्रति घंटे की गति से चलाता है",contradiction
22,"सैंडी को ७०० मीटर की दूरी पार करने में कितने सेकंड लगते हैं, यदि सैंडी १८ किमी/घंटा की गति से दौड़े?","सैंडी को २०० मीटर से अधिक की दूरी पार करने में कितने सेकंड लगते हैं, यदि सैंडी १८ किमी/घंटा की गति से दौड़े?",Entailment
23,रेबेका की वार्षिक आय कितनी बढ़ानी होगी ताकि वह रेबेका और जिमी की संयुक्त आय का ५५% हो जाए?,रेबेका की वार्षिक आय कितनी बढ़ानी होगी ताकि वह रेबेका और जिमी की संयुक्त आय के ५५% से कम हो जाए?,contradiction
24,दलदल में ५८.० हंस और ३७.० बत्तखें थीं।,दलदल में १६.० हंस अधिक थे,contradiction
25,नाइन वेस्ट के प्रतिष्ठित महिला फुटवियर डिज़ाइनर और सह-संस्थापक विंस कैमूटो का निधन हो गया।,विंस कैमूटो का ७८ वर्ष की आयु में निधन हो गया,neutral
26,जेक १६ दिनों में एक कुआँ खोद सकता है,जेक ६६ दिनों से भी कम समय में एक कुआँ खोद सकता है,Entailment
27,"डायना की आयु, वर्षों में, और रशीद की आयु का एक-तिहाई, वर्षों में, ७२ से कम है","डायना की आयु, वर्षों में, और रशीद की आयु का एक-तिहाई, वर्षों में, ३२ है",neutral
28,"विक्टर के पास १५ कप मैदा, १६ कप चीनी और ८ कप दूध है","विक्टर के पास १५ कप से कम मैदा, १६ कप चीनी और ८ कप दूध है",contradiction
29,मिस्टर यादव अपने मासिक वेतन का ६०% उपभोग की वस्तुओं पर खर्च करते हैं और शेष का ५०% कपड़ों और परिवहन पर खर्च करते हैं,मिस्टर यादव अपने मासिक वेतन का १०% उपभोग की वस्तुओं पर खर्च करते हैं और शेष का ५०% कपड़ों और परिवहन पर खर्च करते हैं,contradiction
30,"ठीक ५/७ टट्टुओं के पास घोड़े की नाल है, और ठीक २/३ नाल वाले टट्टू आइसलैंड के हैं","ठीक ३/७ टट्टुओं के पास घोड़े की नाल है, और ठीक २/३ नाल वाले टट्टू आइसलैंड के हैं।",contradiction
31,लिटिल टेक्सास ड्रिलिंग कंपनी को १०० बैरल तेल का उत्पादन करने में कितने घंटे लगते हैं?,७०० बैरल तेल का उत्पादन करने में लिटिल टेक्सास ड्रिलिंग कंपनी को कितने घंटे लगते हैं?,contradiction
32,१६ नाटो सदस्य और प्रतिद्वंद्वी वारसा संधि बनाने वाले १४ देश इस बात पर सहमत हुए कि यूरोप में मूल संधि के अंतर्गत लागू क्षेत्र में उल्लेखनीय रूप से कम उपकरणों की अनुमति दी जाएगी।,नाटो के सदस्यों की संख्या १६ है।,Entailment
33,"यदि मेरी को हैरी से ८०० डॉलर अधिक मिलें, तो उस साल उनके व्यवसाय में कितना लाभ हुआ था?","यदि मेरी को हैरी से $ ५०० अधिक मिलें, तो उस साल उनके व्यवसाय का लाभ कितना था?",Entailment
34,"जैसमीन के पास दो स्लॉट वाला एक टोस्टर है जो एक बार में प्रत्येक ब्रेड का एक तरफ टोस्ट करता है और ऐसा करने में एक मिनट लगता है। यदि वह टोस्ट के ३ टुकड़े बनाना चाहे, तो उन्हें दोनों तरफ टोस्ट करने में उसे न्यूनतम कितना समय लगेगा?","जैसमीन के पास दो स्लॉट वाला एक टोस्टर है जो एक बार में प्रत्येक ब्रेड का एक तरफ टोस्ट करता है और ऐसा करने में एक मिनट लगता है। यदि वह ३ टुकड़ों से अधिक टोस्ट बनाना चाहे, तो उन्हें दोनों तरफ टोस्ट करने में उसे न्यूनतम कितना समय लगेगा?",contradiction
35,मेरी एक काम २८ दिनों में कर सकती है,मेरी एक काम ३८ दिनों से भी कम समय में कर सकती है,Entailment
36,"सैन डुरंगो शहर में, ६० लोग बिल्ली, कुत्ते या खरगोश के मालिक हैं","सैन डुरंगो शहर में, ४० से अधिक लोग बिल्ली, कुत्ते या खरगोश के मालिक हैं",Entailment
37,"अभियोग अधिक आक्रामक होने की प्रवृत्ति रखते थे और मिन्को मामले जैसे वित्तीय अपराधों के लिए, जिनमें कई पीड़ित और भारी धनराशि की हानि होती है, सज़ाएँ लंबी होती जाती हैं।",लाखों डॉलर के बीच बड़ी संख्या में लोगों को ठगने के फलस्वरूप दस से बीस साल के बीच की विभिन्न सज़ाएँ हो सकती हैं।,neutral
38,फ्रेड और सैम ७० मील से भी कम दूरी पर खड़े हैं और वे एक ही समय पर एक-दूसरे की ओर एक सीधी रेखा में चलना शुरू करते हैं,फ्रेड और सैम ५० मील दूर खड़े हैं और वे एक ही समय पर एक-दूसरे की ओर एक सीधी रेखा में चलना शुरू करते हैं,neutral
39,जोन के पास ८.० नारंगी गुब्बारे हैं और उसकी सहेली उसे २.० देती है।,जोन के पास अब ५.० नारंगी गुब्बारे हैं,contradiction
40,एक जूते की दुकान एडिडास के जूते $६० प्रत्येक और प्यूमा जूते $५० प्रत्येक पर बेचती है,एक जूते की दुकान एडिडास जूते $१० प्रत्येक और प्यूमा जूते $५० प्रत्येक पर बेचती है,contradiction
41,"लाली केवल लाल, हरी और नीली खिलौना ईंटों का उपयोग करके ७ : ३ : १ के अनुपात में एक टावर बनाती है","लाली केवल लाल, हरी और नीली खिलौना ईंटों का उपयोग करके ४ : ३ : १ के अनुपात में एक टावर बनाती है",neutral
42,"यदि जोन्स एलिमेंटरी के लड़के कुल स्कूल जनसंख्या के x छात्रों के ६०% से कम हों, तो x कितना है?","यदि जोन्स एलिमेंटरी के लड़के कुल स्कूल जनसंख्या के x छात्रों का २०% हों, तो x कितना है?",neutral
43,एर्नाकुलम और चेन्नई के बीच २४ स्टेशन हैं,एर्नाकुलम और चेन्नई के बीच ४४ स्टेशन हैं,contradiction
44,"लाली ने अंग्रेज़ी, गणित, भौतिकी, रसायन और जीव विज्ञान में ३६, ६५, ८२, ६७ और ८५ अंकों (१०० में से) से अधिक पाए","लाली ने अंग्रेज़ी, गणित, भौतिकी, रसायन और जीव विज्ञान में ७६, ६५, ८२, ६७ और ८५ अंक (१०० में से) पाए।",neutral
45,फ्रेड ने दिन में ८ घंटे काम करके ५० दिनों में २ किलोमीटर हाईवे बनाने के लिए १०० लोगों को नियुक्त किया,फ्रेड ने दिन में ८ घंटे काम करके ५० दिनों में २ किमी हाईवे बनाने के लिए ४०० लोगों को नियुक्त किया,contradiction
46,"८% स्टॉक में १६२०, माइकल रुपये कमाते हैं","८% स्टॉक में १६२० से अधिक, माइकल रुपये कमाते हैं",contradiction
47,स्थानीय अधिकारियों का हवाला देते हुए समाचार रिपोर्ट में कहा गया है कि कुछ कच्ची सब्ज़ियों में ई. कोलाई के कारण १६ लोगों की मृत्यु हुई है।,"मीडिया रिपोर्ट में प्रकोप से जुड़े १६ लोग मारे गए हैं, जिनमें से १ स्वीडन में है",neutral
48,"यदि सनूप खुदरा विक्रेता को २ टी-शर्ट लौटा दे, और शेष टी-शर्टों का औसत मूल्य रुपये था।",यदि सनूप खुदरा विक्रेता को ३ से कम टी-शर्ट लौटा दे और शेष टी-शर्टों का औसत मूल्य रुपये था।,Entailment
49,फ्रेड और सैम ४० मील दूर खड़े हैं और वे एक ही समय पर एक-दूसरे की ओर एक सीधी रेखा में चलना शुरू करते हैं,फ्रेड और सैम २० मील दूर खड़े हैं और वे एक ही समय पर एक-दूसरे की ओर एक सीधी रेखा में चलना शुरू करते हैं,contradiction
50,"बेरोज़गारी दर ५.४ प्रतिशत पर आ जाने के साथ नियोक्ताओं ने अगस्त महीने में १४४,००० नई वेतन वाली नौकरियाँ बनाईं, जो जुलाई महीने की ५.५ प्रतिशत बेरोज़गारी दर की तुलना में थोड़ा सुधार है, श्रम विभाग ने शुक्रवार को बताया।","श्रम विभाग ने बताया, पिछले १२ महीनों में बनी हर ५ नई नौकरियों में से लगभग १ इस सेक्टर में जुड़ी है।",neutral
51,एक रेस्तराँ ने दोपहर के भोजन के समय ५.० केक बेक किए और आज रात के खाने के समय ६.० बेचे और कल रेस्तराँ ने ३.० केक बेक किए थे,२.० केक बचे हैं,Entailment
52,क्या सैली को ८५% से कम लाभ पाने के लिए प्रत्येक वस्तु बेचनी होगी?,क्या सैली को १५% लाभ के लिए प्रत्येक वस्तु बेचनी होगी?,neutral
53,१९५६ में अकार्डो ने जिनेवा प्रतियोगिता जीती और १९५८ में जेनोआ में पगानिनी प्रतियोगिता में प्रथम पुरस्कार विजेता बने। उन्होंने एकल वायलिन के लिए पगानिनी के प्रसिद्ध २४ कैप्रिसेस (१९९९ में दोबारा रिकॉर्ड किए गए) रिकॉर्ड किए हैं और पगानिनी के सभी छह वायलिन कॉन्सर्ट रिकॉर्ड करने वाले पहले व्यक्ति हैं।,अकार्डो ने २४ कैप्रिसेस की रचना की।,neutral
54,"इस आयोजन ने सुपरस्टॉर्म सैंडी से प्रभावित १,००० से अधिक न्यूयॉर्कवासियों को भोजन उपलब्ध कराया और यह फूड बैंक फॉर न्यूयॉर्क सिटी, फीडिंग अमेरिका, फूड नेटवर्क, कुकिंग चैनल और सदर्न वाइन एंड स्पिरिट्स ऑफ अमेरिका के बीच एक सहयोगी प्रयास था।",५० सेंट ने सुपरस्टॉर्म सैंडी से प्रभावित न्यूयॉर्कवासियों को भोजन परोसा,neutral
55,"एक परीक्षा में, अमर ने ७४ प्रतिशत से कम, भवन ने ३६ प्रतिशत और चेतन ने ४४ प्रतिशत अंक पाए।","एक परीक्षा में, अमर ने ६४ प्रतिशत, भवन ने ३६ प्रतिशत और चेतन ने ४४ प्रतिशत अंक पाए।",neutral
56,दोनों कोरिया के बीच तनाव शुरू होने के बाद यह बैठक किम और चीन के किसी शीर्ष अधिकारी के बीच पहली बैठक है।,तनाव के बाद दोनों देशों के बीच यह पहली बैठक है,Entailment
57,"यदि ४ साल में सुनील की आयु श्याम की आयु से दोगुनी हो जाए, तो सुनील की आयु कितनी है?","यदि सुनील की आयु के दोगुने से श्याम की आयु २ साल अधिक हो, तो सुनील की आयु कितनी है?",Entailment
58,"चूँकि आप शानदार हैं, आप जॉन को ७ बेसबॉल कार्ड देते हैं","चूँकि आप शानदार हैं, आपने जॉन को ७ से अधिक बेसबॉल कार्ड दिए हैं",contradiction
59,जिल स्थानीय डाइनर में एक परिचारिका का काम करती है जहाँ उसे प्रति घंटे $४.०० मज़दूरी मिलती है और वह जो ऑर्डर परोसती है उनके मूल्य का १५% एक मानक टिप दर मिलती है,जिल स्थानीय डाइनर में एक परिचारिका का काम करती है जहाँ उसे प्रति घंटे $४.०० मज़दूरी मिलती है और वह जो ऑर्डर परोसती है उनके मूल्य का ८५% एक मानक टिप दर मिलती है,contradiction
60,"अंग्रेज़ी, विज्ञान, गणित और इतिहास में गणेश का औसत स्कोर अंग्रेज़ी, इतिहास, भूगोल और गणित में उसके स्कोर से ८८ से कम है।","अंग्रेज़ी, विज्ञान, गणित और इतिहास में गणेश का औसत स्कोर अंग्रेज़ी, इतिहास, भूगोल और गणित में उसके स्कोर से १८ कम है।",neutral
61,जाँचकर्ताओं को उसकी संपत्ति में एक नक्शा मिला है जिसमें ३४ स्थानों को लक्ष्य के रूप में चिह्नित किया गया है,"उन्होंने कहा, जाँचकर्ताओं को मैकविलियम्स की संपत्ति में लक्ष्य के रूप में चिह्नित ३४ स्थानों को शामिल करने वाला एक नक्शा मिला है।",Entailment
62,एक ट्रेन ९ बजे दिल्ली छोड़ती है,एक ट्रेन ८ बजे के बाद दिल्ली छोड़ती है,Entailment
