Q No.,Question,Answer
1,১অনু বেনজিনে _____ কার্বন পরমাণু আছে।,৬
2,৫% মুনাফা হারে ১০ বছরে ১০০০০ টাকা থেকে _____ টাকা লাভ পাওয়া যাবে।,৫০০০
3,"নাদিমের কাছে  ৫ টাকা ছিল। দোকানে তিনি একটি নতুন খেলায় ২ টাকা ব্যয় করেছিলেন।
 তিনি যদি তার ভাতার জন্য আরও ৫ টাকা পান
 তবে তার কাছে এখন _____ টাকা রয়েছে",৮ 
4,বাপ্পি ঘণ্টায় ৪ মাইল বেগে ৫ মাইল হাঁটছিলেন। বাপ্পি _____ ঘন্টা ধরে হাঁটছিলেন।,১.২৫
5,"১১ জন বন্ধু অনলাইনে একটি ভিডিও গেম খেলছিল তখন ৫ জন খেলোয়াড় ছেড়ে দিয়েছিল।
 যদি প্রতিটি খেলোয়াড়ের ৫ টি জীবন থাকে তবে তাদের মোট _____ জীবন ছিল।",৩০
6,পার্কে বর্তমানে ৯টি ওক গাছ রয়েছে। পার্কের কর্মীরা ২টি নতুন ওক গাছ লাগাচ্ছেন। শ্রমিকদের কাজ শেষ হলে পার্কে _____ ওক গাছ থাকবে।,১১
7,"আব্দুল্লাহ ১ মিটার লম্বা একটি রেখা আঁকেন। তারপর তিনি বুঝতে পারলেন যে এটি কিছুটা দীর্ঘ। সুতরাং, তিনি এটির ৩৩ সেন্টিমিটার মুছে ফেলেছেন। ফলে রেখার দৈর্ঘ্য  এখন _____ সে.মি.।",৬৭
8,তাহসান দোকান থেকে পাঁচ ডজন ডিম নিয়ে বাসায় গেল। বাসায় গিয়ে সে দেখল ৩ টা ডিম নষ্ট। ফলে তাহসানের কাছে _____ ভাল ডিম আছে।,৫৭
9,স্যালির ২৭টি পোকেমন কার্ড ছিল। ড্যান তাকে ৪১টি নতুন পোকেমন কার্ড দিয়েছে। স্যালি ২০টি পোকেমন কার্ড হারিয়েছে। স্যালির কাছে এখন _____ পোকেমন কার্ড আছে।,৪৮
10,পার্কে আখরোট গাছ আছে ৬টি। পার্কের কর্মীরা আজ ৪টি গাছ অপসারণ করবে। শ্রমিকদের কাজ শেষ করার পর পার্কে _____ আখরোট গাছ থাকবে।,২
11,স্পার্স বাস্কেটবল দলে ২২ জন খেলোয়াড় রয়েছে। প্রতিটি খেলোয়াড়ের ১১টি বাস্কেটবল রয়েছে। তাদের সব মিলিয়ে _____ বাস্কেটবল আছে।,২৪২
12,জোয়ান এই বছর ১৪টি ফুটবল খেলায় গিয়েছিলেন। তিনি এই বছর এবং গত বছর মোট ৩১টি গেমে গিয়েছিলেন। জোয়ান গত বছর _____ ফুটবল খেলায় গিয়েছিলেন।,১৭
