Q No.,Premise,Hypothesis,Answer
189,रॉब के पास ८ खिलौना ट्रक हैं,रॉब के पास ५० से अधिक खिलौना ट्रक हैं,Entailment
116,यदि शारुख प्रति मिनट ५ शब्दों की दर से टाइप करे तो २५ शब्द टाइप करने में कितने मिनट लगेंगे?,यदि शारुख प्रति मिनट ५ शब्दों की दर से टाइप करे तो ६५ शब्द टाइप करने में कितने मिनट लगेंगे?,contradiction
30,"ठीक ५/७ टट्टुओं के पास घोड़े की नाल है, और ठीक २/३ नाल वाले टट्टू आइसलैंड के हैं","ठीक ३/७ टट्टुओं के पास घोड़े की नाल है, और ठीक २/३ नाल वाले टट्टू आइसलैंड के हैं।",contradiction
32,१६ नाटो सदस्य और प्रतिद्वंद्वी वारसा संधि बनाने वाले १४ देश इस बात पर सहमत हुए कि यूरोप में मूल संधि के अंतर्गत लागू क्षेत्र में उल्लेखनीय रूप से कम उपकरणों की अनुमति दी जाएगी।,नाटो के सदस्यों की संख्या १६ है।,Entailment
223,"मार्टिन ने ८० से कम कॉन्सर्ट टिकट खरीदे, कुछ $२.०० प्रति टिकट के पूरे मूल्य पर, और कुछ $१.६० प्रति टिकट के छूट वाले मूल्य पर।","मार्टिन ने १० कॉन्सर्ट टिकट खरीदे, कुछ टिकट $२.०० के पूरे मूल्य पर, और कुछ $१.६० प्रति टिकट के छूट वाले मूल्य पर।",neutral
348,रीता ६ दिनों से भी कम समय में एक जोड़ी मोज़े बुन सकती है,रीता ३ दिनों में एक जोड़ी मोज़े बुन सकती है,neutral
20,उसके बाद से १.२ मिलियन से अधिक लोगों ने इसे देखा है।,यूट्यूब पर १.२ मिलियन से अधिक लोगों ने इसे देखा है,Entailment
26,जेक १६ दिनों में एक कुआँ खोद सकता है,जेक ६६ दिनों से भी कम समय में एक कुआँ खोद सकता है,Entailment
73,"अभियुक्तों में एमएस-१३ के १५८ सदस्य और सहयोगी हैं, अन्य १०५ पर दूसरे गैंगों से जुड़े होने का आरोप है।","गैंग स्वीप ने कुख्यात एमएस-१३ गैंग के १५८ सदस्यों और सहयोगियों को गिरफ्तार किया है, अन्य लोगों के बीच",Entailment
403,कुल फैसला ८५ मिलियन डॉलर से अधिक का था।,प्रत्येक को ७ मिलियन डॉलर से अधिक का पुरस्कार दिया गया था,neutral
7,छह साल पहले कुणाल और सागर की आयु का अनुपात ६:५ था,छह साल पहले कुणाल और सागर की आयु का अनुपात ६:५ से अधिक था,contradiction
127,"रेणु एक काम ८ दिनों में कर सकती है, लेकिन अपनी सहेली सुमा की मदद से, वह ३ दिनों में कर सकती है","रेणु एक काम ७ दिनों से अधिक में कर सकती है, लेकिन अपनी सहेली सुमा की मदद से वह काम ३ दिनों में कर सकती है।",Entailment
58,"चूँकि आप शानदार हैं, आप जॉन को ७ बेसबॉल कार्ड देते हैं","चूँकि आप शानदार हैं, आपने जॉन को ७ से अधिक बेसबॉल कार्ड दिए हैं",contradiction
299,"यदि अरुण की वर्तमान आयु में से ६ वर्ष घटाए जाएँ और शेष को १८ से भाग दिया जाए, तो उनके पोते गोकुल की वर्तमान आयु मिलती है।","यदि अरुण की वर्तमान आयु में से ७ वर्ष से कम घटाया जाए और शेष को १८ से भाग दिया जाए, तो उनके पोते गोकुल की वर्तमान आयु मिलती है।",Entailment
227,"यदि जॉन को ठीक $१२८ देने हों, तो उसे न्यूनतम कितने बिल इस्तेमाल करने होंगे?","यदि जॉन को ६२८ डॉलर से कम देने हों, तो उसे न्यूनतम कितने बिल इस्तेमाल करने होंगे?",Entailment
384,मार्था के पास ५ से कम कुत्ते और ४ बिल्लियाँ हैं,मार्था के पास ४ कुत्ते और ४ बिल्लियाँ हैं,neutral
282,"पिछले साल क्लब के १२ सदस्यों ने इंग्लैंड और फ्रांस दोनों देशों की यात्रा की, ६ सदस्यों ने इंग्लैंड और इटली दोनों की यात्रा की और ० सदस्यों ने फ्रांस और इटली दोनों की यात्रा की","पिछले साल क्लब के १२ से कम सदस्यों ने इंग्लैंड और फ्रांस दोनों देशों की यात्रा की, ६ सदस्यों ने इंग्लैंड और इटली दोनों की यात्रा की और ० सदस्यों ने फ्रांस और इटली दोनों की यात्रा की",contradiction
