Q No.,Question,Answer
638,"किसी उचित भिन्न के अंश और हर का योगफल १४ और अंतर ८ हो, तो भिन्न निकालें।",३/११
221,"१०७१ धोतियां, ५९५ साड़ियां और ३५७ कुर्ते जमा हैं। कुछ परिवारों के बीच वे चीजें बराबर बांट दी गईं। प्रत्येक परिवार को कितने कुर्ते मिलेंगे।",३
429,"२१६० रुपये रूमा, जूही और काजल के बीच १ : २ : ३ के अनुपात में बांटने पर जूही को कितने रुपये मिलेंगे?",७२०
327,"एक यूरो के बराबर १२० रुपये हों, तो नौ करोड़ चौरानबे लाख तैंतीस हजार चार सौ चालीस रुपये कितने यूरो के बराबर हैं?",८२८६१२
73,एक इंच २.५४ से.मी. के बराबर है। ८.५ इंच कितने से.मी. के बराबर है?,२१.५९
517,किस संख्या में से २७ घटाने पर अंतर -२१ होगा?,६
182,"इस साल की गणित परीक्षा में हमारी कक्षा के ६०% छात्र-छात्राओं ने ८० से ज्यादा अंक पाए हैं। हमारी कक्षा में कुल छात्र-छात्राएं ५० हों तो कितने छात्र-छात्राओं ने ८० से ज्यादा अंक पाए हैं, हिसाब करें।",३०
132,"गोमती नदी के किनारे के एक हिस्से को बांधने में ४० मजदूरों को ३५ दिन लगते हैं। २८ दिनों के भीतर उस हिस्से को बांधने में कितने मजदूर लगेंगे, हिसाब करें।",५०
232,१४५ और २३२ दोनों संख्याओं के म.स.प. का मान खोजें।,२९
278,"तीन धनात्मक संख्याओं में पहली और दूसरी का गुणनफल २४; दूसरी और तीसरी का गुणनफल ४८; तथा पहली और तीसरी का गुणनफल ३२ है। बड़ी संख्या क्या होगी, हिसाब करें।",८
608,"एक त्रिभुजाकार जमीन का क्षेत्रफल २६४ वर्ग मीटर है। इसका आधार २२ मीटर हो, तो ऊंचाई निकालें।",२४
282,"५३२० के साथ कौन-सी छोटी से छोटी संख्या जोड़ने पर योगफल पूर्ण वर्ग संख्या होगा, हिसाब करें।",९
250,"निसार के फलों के बगीचे से ४४१ संतरे तोड़े गए हैं। उन्हें कई टोकरियों में रखा जाएगा। जितनी टोकरियां हैं, प्रत्येक टोकरी में उतने संतरे रखने पर कुल कितनी टोकरियों में संतरे रखे गए, हिसाब करें।",२१
82,"राजेश ने १ मीटर लंबी एक रेखा खींची। फिर उसे लगा कि यह कुछ लंबी है। इसलिए, उसने इसका ३३ सेंटीमीटर मिटा दिया। फलस्वरूप रेखा की लंबाई अब कितने से.मी. है?",६७ 
616,८० मीटर लंबाई और ६० मीटर चौड़ाई वाले एक आयताकार बगीचे के भीतर चारों ओर ४ मीटर चौड़ा एक रास्ता है। ७.२५ रुपये प्रति वर्ग मीटर की दर से उस रास्ते को बांधने का खर्च कितना है?,७६५६
248,"उनके कुछ दोस्त कुछ टॉफियां और बिस्कुट लेकर बगीचे में आए। वे कुल जितने दोस्त हुए, प्रत्येक उतनी टॉफियां और प्रत्येक उसकी दुगुनी संख्या में बिस्कुट लाया। कुल टॉफियां और बिस्कुट १४७ लाए हों तो वे कितने दोस्त हैं, हिसाब करके देखें।",७
364,एक बर्तन में १.६ लीटर रंग है और इसका वजन २.४ किलो है। प्रति लीटर रंग का वजन निकालें।,१.५०
644,"एक लड़के ने दुकान से १५ कॉपियां और १० पेंसिलें ३०० रुपये देकर खरीदीं। फिर, एक अन्य लड़के ने उसी दुकान से उसी प्रकार की १० कॉपियां और १५ पेंसिलें २५० देकर खरीदीं। प्रत्येक पेंसिल का दाम निकालें।",६
70,एक पैकेट में ०.३३४ लीटर दूध है। ऐसे ५० पैकेटों में कितने लीटर दूध है?,१६.७०
11,"इस साल एक गाड़ी का मूल्य १६००० डॉलर है, जो पिछले साल के मूल्य का ०.८ गुना है। पिछले साल गाड़ी का मूल्य कितना था?",२००००
342,एक सड़क पर कुछ पेड़ और लैम्पपोस्ट हैं। २५ मीटर के अंतर पर पेड़ और २० मीटर के अंतर पर लैम्पपोस्ट हैं। सड़क की शुरुआत में पेड़ और लैम्पपोस्ट एक साथ हों तो कितने मीटर के अंतर पर पेड़ और लैम्पपोस्ट फिर से एक साथ होंगे?,१००
64,हम ०.६ लीटर दूध ३ विद्यार्थियों में बराबर बाँटना चाहते हैं। प्रत्येक विद्यार्थी को कितने लीटर दूध मिलेगा?,०.२०
465,एक गाड़ी का बिक्री मूल्य गाड़ी के क्रय मूल्य के ४/५ हिस्से के बराबर है। प्रति सौ लाभ या घाटा निकालें।,२०
55,४/५ लीटर शरबत २ लोगों में बराबर बाँटने पर प्रत्येक को कितने लीटर शरबत मिलेगा?,२/५
535,एक क्रिकेट मैच में अमन और सुमन के कुल रनों की संख्या ५८ है। अमन के रनों की संख्या सुमन के रनों की संख्या के दुगुने से ५ रन कम है। उस मैच में अमन के रनों की संख्या कितनी है?,३७
518,किस संख्या का एक-तिहाई ४ के बराबर होगा?,१२
178,"आज रजत स्कूल जाते समय कुल रास्ते का ०.२५ हिस्सा पैदल और बाकी हिस्सा रिक्शे से गया। रजत कुल रास्ते का प्रति सौ कितना हिस्सा रिक्शे से गया, हिसाब करें।",७५
300,"मेरी और सुलेखा की उम्र का अनुपात ५:६ है; मेरी उम्र १० साल हो तो, सुलेखा की उम्र कितनी है, हिसाब करके लिखें।",१२
595,४० मीटर लंबाई और ३० मीटर चौड़ाई वाले एक मैदान के ठीक बीच में आड़े-तिरछे १.५ मीटर चौड़े दो रास्ते हैं। दोनों रास्तों का कुल क्षेत्रफल कितना है?,१०२.७५
32,४ कलमों का मूल्य ८० रुपये है। १० कलमों का मूल्य कितना है?,२००
491,"एक त्रिभुजाकार जमीन का क्षेत्रफल २१६ वर्ग मीटर है। इसका आधार १८ मीटर हो, तो ऊंचाई निकालें।",२४
56,८/९ लीटर दूध ५ लोगों में बराबर बाँटने पर प्रत्येक को कितने लीटर दूध मिलेगा?,८/४५
175,"हमारे घर से स्कूल की दूरी २०.४ कि.मी. है। १०.२ कि.मी. प्रति घंटे की रफ्तार से साइकिल चलाकर कितने समय में स्कूल पहुंचूंगा, हिसाब करें।",२
480,"एक काम क और ख मिलकर १६ दिनों में, ख और ग मिलकर १२ दिनों में और क और ग मिलकर २० दिनों में कर सकते हैं। क, ख और ग मिलकर वह काम कितने दिनों में कर सकेंगे?",१०.२१
551,"वार्षिक ब्याज की दर प्रति सौ १०.५० रुपये हो, तो २००० रुपयों का ५ साल का ब्याज कितना होगा?",१०५०
210,"६, ८, १० और १२ से विभाज्य ऐसी छोटी से छोटी संख्या खोजने की कोशिश करें जो ३०० और ५०० के बीच होगी?",३६०
111,"एक इंजन के अगले पहिये की परिधि १४ डेसीमीटर और पिछले पहिये की परिधि ३५ डेसीमीटर है। कम से कम कितना रास्ता चलने पर दोनों पहिये एक साथ पूर्ण संख्या में चक्कर पूरे करेंगे, हिसाब करते हैं।",७०
512,अनन्या ने एक परीक्षा में अंग्रेजी और गणित में कुल १७६ अंक पाए हैं और अंग्रेजी से गणित में १० अंक ज्यादा पाए हैं। उसने अंग्रेजी में कितने अंक पाए हैं।,८३
211,"हिसाब करके देखें चार अंकों की कौन-सी छोटी से छोटी संख्या १२, १५, २० और ३५ से विभाज्य है।",१२६०
159,"५०/३ मीटर लंबे फीते का ३/८ हिस्सा काटकर उसे बराबर ५ भागों में काटने पर एक टुकड़े की लंबाई क्या मिलेगी, हिसाब करें।",५/४
166,"मेरे पास १५० रुपये हैं। अपने रुपयों के ०.३ हिस्से से मैंने कॉपियां खरीदीं और अपने रुपयों के ०.४ हिस्से से कहानी की किताब खरीदी। अब मेरे पास कितने रुपये बचे हैं, हिसाब करें।",४५
363,एक मीटर लोहे की छड़ का वजन २.३ किलो है। छड़ की लंबाई १.४ मीटर हो तो इसका वजन कितने किलो है?,३.२२
524,दो संख्याओं का योगफल ५५ है और बड़ी संख्या का ५ गुना छोटी संख्या के ६ गुने के बराबर है। छोटी संख्या निकालें।,२५
77,दस लाख रुपये के लिए कुल कितने दो सौ रुपये के नोटों की आवश्यकता है?,५०००
447,"एक दुकानदार ने ५० किलो की १ बोरी चावल १६०० रुपये में खरीदी। चावल का दाम घट जाने से १५०० रुपये में बेची, उन्हें कितने रुपये का घाटा हुआ?",१००
3,"एक सिनेमा थिएटर वयस्कों के लिए ७.५० रुपये और बच्चों के लिए ४.५० रुपये लेता है। एक सिनेमा दिखाने की रसीद ५४० रुपये थी। यदि ८० टिकट बिके, तो पता कीजिए कितने वयस्क टिकट बिके।",६०
378,"एक बक्से के ३० संतरों में से हमने ३ का वजन मापकर पाया क्रमशः २३५ ग्राम, १२० ग्राम और ३६५ ग्राम। औसत वजन के आधार पर ३० संतरों का कुल वजन (किलो में) निकालें।",७.२०
272,दो धनात्मक संख्याओं का गुणनफल ९८ है और बड़ी संख्या छोटी संख्या की २ गुनी है। छोटी संख्या क्या है?,७
293,१८९५ से १९१५ तक कुल कितने लीप वर्ष थे।,४
450,एक बक्सा अंगूर २७५० रुपये में बेचने पर ४५० रुपये का घाटा हुआ। वही अंगूर ३६०० रुपये में बेचते तो कितने रुपये का लाभ या घाटा होता?,४००
646,"एक आदमी के पास ५००० रुपये हैं। उन्होंने वे रुपये दो लोगों के बीच इस तरह बांट दिए कि पहले के रुपये दूसरे के ४ गुने हों। फिर, पहले से १५०० रुपये दूसरे को देने पर दोनों के रुपयों की राशि बराबर हो जाती है। दूसरे व्यक्ति के रुपयों की राशि निकालें।",१०००
91,एक पार्क में एक बरगद का पेड़ और एक चीड़ का पेड़ है। १५० वर्ष पहले दोनों पेड़ों की आयु का योग २९६१ वर्ष था। वर्तमान में चीड़ के पेड़ की आयु १४३२ वर्ष है। वर्तमान में बरगद के पेड़ की आयु कितने वर्ष होगी?,१८२९
498,१०० रुपये प्रति मीटर की दर से १०० मीटर लंबे और ५० मीटर चौड़े एक आयताकार पार्क के चारों ओर बाड़ लगाने में कितना खर्च लगेगा?,३००००
319,५६०५ में से कौन-सी छोटी से छोटी संख्या घटाने पर अंतर एक पूर्ण वर्ग संख्या होगा?,१२९
31,१८ अंडों का दाम ७२ रुपये है। ऐसे १५ अंडे खरीदने के लिए कितने रुपयों की आवश्यकता है?,६०
329,गीता से शेखर के पास २१० रुपये ज्यादा हैं। श्याम से गीता के पास ३५० रुपये कम हैं। श्याम के पास ४२० रुपये हैं। शेखर के पास कितने रुपये हैं?,२८०
177,"हमारी कक्षा में कुल छात्र-छात्राओं का ०.२३ हिस्सा छात्राएं हैं। हमारी कक्षा में कुल छात्र-छात्राओं में प्रति सौ कितनी छात्राएं पढ़ती हैं, हिसाब करें।",२३
432,"कुछ रुपये लक्की, समर और सोहम के बीच ५ : ४ : २ के अनुपात में बांटे गए। सोहम को १८० रुपये मिले हों तो समर को कितने रुपये मिलेंगे, निकालें।",३६०
45,"भाज्य ८९०३, भाजक ८७ और शेषफल २९ है। भागफल कितना है?",१०२
265,किस छोटी से छोटी प्राकृतिक संख्या से ४३२ को गुणा करने पर पूर्ण वर्ग संख्या मिलेगी।,३
79,५% लाभ की दर से १० वर्षों में १०००० रुपये पर कितने रुपये का लाभ मिलेगा?,५०००
448,७५ रुपये में १५ बॉलपेन खरीदकर ९० रुपये में बेचने पर प्रति सौ कितना लाभ होगा?,२०
102,"वह सबसे छोटी संख्या ढूँढ़ते हैं जो १८, २४, ४२ से विभाज्य है।",५०४
311,"मेरी पढ़ाई की किताबों और कहानी की किताबों का अनुपात ४:३ है; पढ़ाई की किताबें २८ हों तो कुल किताबों की संख्या कितनी है, हिसाब करें।",४९
441,"९६०० रुपये सारा, मयूरी और रिया के बीच ४:३:१ के अनुपात में बांटने पर रिया को कितने रुपये मिलेंगे?",१२००
451,एक चाय व्यापारी ने एक बक्सा चाय पत्ती ८० रुपये प्रति किलो के हिसाब से खरीदी। सारी चाय पत्ती ७५ रुपये प्रति किलो की दर से बेचने पर ५०० रुपये का घाटा हुआ। उन्होंने कितने किलो चाय पत्ती खरीदी थी?,१००
421,"२० मीटर कपड़े को तीन भाई-बहन अमित, सुमित और चेतना के बीच ५ : ३ : २ के अनुपात में बांटने पर सुमित के कपड़े की मात्रा कितनी है?",६
559,वार्षिक ब्याज ८% से बढ़कर १०% होने से तनुजा की आय ४ साल में १२८ रुपये बढ़ गई। उनका मूलधन कितना था?,१६००
164,"मीठू ४ कॉपियां खरीदेगी। १ कॉपी का दाम १२.७५ रुपये हो तो मीठू को कितने रुपये जुटाने होंगे, हिसाब करें।",५१
495,एक आयताकार कमरे की परिमिति एक वर्गाकार परिमिति के बराबर है। आयताकार कमरे की लंबाई चौड़ाई की ३ गुनी है। ७५ रुपये प्रति वर्ग मीटर की दर से कमरे के फर्श को कार्पेट से ढकने में कुल ११०२५ रुपये खर्च होते हैं। ४० से.मी. वर्गाकार टाइलों से वर्गाकार कमरे के फर्श को ढकने में कितनी टाइलें लगेंगी?,१६००
66,"एक बर्तन में ०.६३ लीटर तेल है। वह तेल ७ कपों में बराबर डाला जाए, तो प्रत्येक कप में कितने लीटर तेल होगा?",०.०९
347,३/५ वर्ग मी. दीवार रंगने में १/३ डेसी ली. रंग लगता है। १ डेसी ली. रंग से कितने वर्ग मी. दीवार रंगी जा सकेगी?,९/५
50,७/५ मीटर और ४/५ मीटर लंबाई के दो फीते मिलाकर कितने मीटर हैं?,११/५
412,किसी बगीचे में १८०० पौधे वर्गाकार रूप में लगाते समय ३६ पौधे ज्यादा हो गए। प्रत्येक कतार में पौधों की संख्या निकालें।,४२
219,"१०७१ धोतियां, ५९५ साड़ियां और ३५७ कुर्ते जमा हैं। कुछ परिवारों के बीच वे चीजें बराबर बांट दी गईं। प्रत्येक परिवार को कितनी धोतियां मिलेंगी।",९
40,राजू और मोनू के पास मिलाकर ६९० लीची हैं। राजू की तुलना में मोनू के पास ८६ लीची कम हैं। राजू के पास कितनी लीची हैं?,३८८
205,११ किलो चीनी १२ पैकेटों में बराबर बांटकर प्रत्येक भाग की माप देखें।,०.९१
323,"अमित के पास १० दस रुपये के नोट, १० बीस रुपये के नोट और १० पचास रुपये के नोट हैं। कम से कम कितने नोटों का इस्तेमाल करके वह १९० रुपये चुका सकेगा?",५
7,"एक संख्या दूसरी के दोगुने से ९ कम है, और उनका योग ४२ है। बड़ी संख्या कितनी है?",२५
590,"एक हौज में ८००० लीटर पानी आता है। हौज की लंबाई २.५६ मीटर और चौड़ाई १.२५ मीटर हो, तो गहराई कितनी है?",२.५०
530,"एक फल विक्रेता के कुल फलों का १/२ हिस्सा सेब, १/३ हिस्सा संतरे और ४० आम हैं। उनके पास कुल कितने फल हैं?",२४०
609,"एक हौज में १९२०० लीटर पानी आता है। इसकी गहराई २.५६ मीटर और चौड़ाई २.५ मीटर हो, तो लंबाई कितनी है?",३
422,"२० मीटर कपड़े को तीन भाई-बहन अमित, सुमित और चेतना के बीच ५ : ३ : २ के अनुपात में बांटने पर चेतना के कपड़े की मात्रा कितनी है?",४
