Q No.,Question,Answer,option1,option2
116,"एमिली छत पर एक केला फेंकती है और वह १०० मिमी फिसलता है, लेकिन जब वह उसे स्लाइड पर फेंकती है, तो वह २११ मिमी फिसलता है। कम घर्षण कहाँ था?",Option 2,छत पर,स्लाइड पर
187,"एक बिल्ली और एक कुत्ता दोनों ५ मील की गति से दौड़ते हैं। यदि बिल्ली १ मिनट और कुत्ता १.५ मिनट दौड़े, तो कौन अधिक दूरी तय करेगा?",Option 2,बिल्ली,कुत्ता
367,टीना और मीना दोनों हाईवे पर एक ही गति से जा रही हैं। टीना ३०.६ मिनट और मीना २८.७६ मिनट गाड़ी चलाती है। कौन अधिक दूर गाड़ी चलाती है?,Option 1,टीना,मीना
82,"शिलोह रेगमाल (सैंडपेपर) के एक टुकड़े पर एक गेंद लुढ़काता है और देखता है कि गेंद २ मीटर/सेकंड के वेग से लुढ़कती है, फिर शिलोह अपनी गेंद को काँच के एक टुकड़े पर लुढ़काता है और गेंद ५ मीटर/सेकंड के वेग से लुढ़कती है। गेंद तेज़ लुढ़की क्योंकि काँच के टुकड़े पर?",Option 2,अधिक घर्षण है,कम घर्षण है
315,एक तैराक ५ मिनट में एक झील पार करता है और ३० सेकंड में गीली कीचड़ पार करता है। कौन-सी कम चिकनी है?,Option 1,झील,गीली कीचड़
358,"महेश के ट्रक की औसत गति १३ मील प्रति घंटा और उसकी कार की गति २९ मील प्रति घंटा है। यदि वह फ्रीवे पर एक घंटे तक दोनों चलाए, तो कौन कम दूरी तय करेगी?",Option 1,ट्रक,कार
77,एक प्रशिक्षक ने प्रतिदिन अपने घोड़े को दौड़ते देखा। घोड़ा ६ सेकंड में अधिक गति पकड़ सका जब कोई उस पर सवार नहीं था और जब कोई उस पर सवार था तब उसे १२ सेकंड लगे। घोड़े का वज़न कम था जब?,Option 2,उस पर एक सवार था,जब कोई उस पर सवार नहीं था
180,"गाड़ी चलाते हुए, मेरी को पता चला कि जंगल का घर्षण गुणांक ०.७ है, जबकि सड़क का जंगल की तुलना में ०.१ अधिक है। उसकी गाड़ी का वेग कहाँ अधिक है?",Option 1,जंगल में,सड़क पर
329,मैं एक गाड़ी में ६ मी/से की गति से और एक साइकिल पर २० मी/से की गति से यात्रा कर सकता हूँ। कौन-सा धीमा है?,Option 2,साइकिल,गाड़ी
49,"टीना अपने दो कुत्तों के बीच दौड़ करा रही है। इनमें से ग्रेहाउंड का वज़न ४० किलो है, और उसके रॉटवीलर का वज़न ३५ किलो है। कौन-सा कुत्ता अधिक तेज़ दौड़ता है?",Option 1,रॉटवीलर,ग्रेहाउंड
