Q No.,Question,Answer
112,"मेरे पास एक बड़ी चॉकलेट है। मैंने उस चॉकलेट के बराबर ८ टुकड़े करके उसके ३ टुकड़े बहन को, २ टुकड़े भाई को दिए और बाकी टुकड़े खुद खा लिए। देखता हूँ मुझे चॉकलेट का कितना भाग मिला।",३/८
186,"आज हमारी कक्षा में ७ छात्र-छात्राएं अनुपस्थित हैं। कक्षा में कुल छात्र-छात्राएं ३५ हैं। आज कुल छात्र-छात्राओं में प्रति सौ कितने स्कूल आए हैं, हिसाब करें।",८०
440,"९६०० रुपये सारा, मयूरी और रिया के बीच ४:३:१ के अनुपात में बांटने पर मयूरी को कितने रुपये मिलेंगे?",३६००
10,"एक पूर्णांक दूसरे का दोगुना है, और उनका योग ९६ है। बड़ा पूर्णांक ढूँढ़िए।",६४
31,१८ अंडों का दाम ७२ रुपये है। ऐसे १५ अंडे खरीदने के लिए कितने रुपयों की आवश्यकता है?,६०
317,६५१२०१ में से कौन-सी छोटी से छोटी संख्या घटाने पर अंतर एक पूर्ण वर्ग संख्या होगा?,१५६५
6,वह छोटी संख्या ढूँढ़िए जिनका योग १४७ है और एक दूसरी के ०.३७५ गुने से ४ बड़ी है।,४३
428,"२१६० रुपये रूमा, जूही और काजल के बीच १ : २ : ३ के अनुपात में बांटने पर रूमा को कितने रुपये मिलेंगे?",३६०
272,दो धनात्मक संख्याओं का गुणनफल ९८ है और बड़ी संख्या छोटी संख्या की २ गुनी है। छोटी संख्या क्या है?,७
17,पिता और पुत्र की वर्तमान आयु का अंतर १५ वर्ष है। ३० वर्ष बाद उनकी आयु का अंतर कितना होगा?,१५
358,"अहमद के पास ४ किलो तेल है। १ लीटर तेल का वजन ६/७ किलो हो तो, उसके पास कितने लीटर तेल है?",१४/३
110,"सरस्वती विद्या मंदिर स्कूल की छठी कक्षा के छात्र-छात्राओं को, स्कूल के बगीचे में लगाने के लिए पंचायत से फूलों के पौधे भेजे गए। हिसाब करने पर देखा गया कि पौधों को २०, २४ या ३० पंक्तियों में लगाने पर हर स्थिति में प्रत्येक पंक्ति में बराबर पौधे रहते हैं। पंचायत से कम से कम कितने पौधे भेजे गए थे, हिसाब करके देखते हैं।",१२०
215,९७८६ किग्रा. और २७९६ किग्रा. - के म.स.प. का मान खोजें।,१३९८
219,"१०७१ धोतियां, ५९५ साड़ियां और ३५७ कुर्ते जमा हैं। कुछ परिवारों के बीच वे चीजें बराबर बांट दी गईं। प्रत्येक परिवार को कितनी धोतियां मिलेंगी।",९
98,२ गायों और ३ बकरियों का मूल्य मिलाकर ४५०८० रुपये है। एक बकरी का मूल्य ४५६० रुपये है। तो एक गाय का मूल्य कितने रुपये है?,१५७००
624,फैज और अयान के पास कुछ बेर थे। फैज के बेरों में से अयान को १० बेर देने पर अयान के बेरों की संख्या फैज के बेरों की संख्या की तिगुनी हो जाती। और अयान के बेरों में से फैज को २० देने पर फैज के बेरों की संख्या अयान की संख्या की दुगुनी हो जाती। अयान के पास कितने बेर थे?,४४
104,"दो संख्याओं का ल.स. और म.स. क्रमशः २५२ और ६ है; दोनों संख्याओं का गुणनफल कितना है, हिसाब करते हैं।",१५१२
133,"राजीव, देवांगना, मासूम और तनीषा ६ दिनों में १५०टी सवाल हल कर सकते हैं। हिसाब करके देखें, यदि प्रत्येक व्यक्ति प्रतिदिन समान मात्रा में सवाल हल करे तो राजीव और तनीषा कितने दिनों में २५० सवाल हल कर पाएंगे।",२०
78,दस हज़ार रुपये के लिए कुल कितने पाँच सौ रुपये के नोटों की आवश्यकता है?,२०
