Q No.,Question,Answer,Domain,Sub-Domain
1,"যদি একটি আয়তক্ষেত্রাকার বাক্সের দৈর্ঘ্য ১০ ইঞ্চি, প্রস্থ ৫ ইঞ্চি এবং উচ্চতা ৩ ইঞ্চি হয় তবে বাক্সের মোট আয়তন কত?",১৫০,Math,Math
2,১অনু বেনজিনে কয়টা কার্বন আছে?,৬,Chemistry,Chemistry
3,ময়না ২০মি/সে বেগে ১০ মিনিট দৌড়ালে কত পথ অতিক্রম করবে? ,১২০০০,Physics,Physics
4,একটি ফিটকিরি অনু তে কয়টি অক্সিজেন আছে?,৪০,Chemistry,Chemistry
5,একটিি বক্সে ৬টা লাল ও ৪টা সাদা বল আছে। একটি বল দৈবভাবে নেয়া হলে বলটি লাল হওয়ার সম্ভাবনা কত?,০.৬০,Math,Probability
6,দশমিক সংখ্যা ২৫ এর বাইনারি কত?,১১০০১,CS,CS
7,৫% মুনাফা হারে ১০ বছরে ১০০০০ টাকা থেকে কত টাকা লাভ পাওয়া যাবে?,২৫০০,Math,Math
8,১ মোল ইথানল এবং ১ মোল অক্সিজেনের সমন্বয়ে গঠিত জলের পরিমাণ গ্রামে নির্ণয় করুন।,১৮,Chemistry,Chemistry
9,একটি বাইক ৭ সেকেন্ডে ২১ মিটার ভ্রমণ করেছে। বাইকের গড় গতি সেকেন্ডে কত মিটার তা বের করুন।,৩,Physics,Physics
10,কার্বন মনোক্সাইড এর ৯ মোলের ভর কত গ্রাম?,২৫২,Chemistry,Chemistry
11,অ্যালুমিনিয়াম হাইড্রোক্সাইড এ অ্যালুমিনিয়াম এর ভর শতাংশে নির্ণয় কর।,৩৪.৬,Chemistry,Chemistry
12,একটি ট্রেন গড়ে ১০ মি/সেকেন্ড গতিতে ৮০ মিটার কভার করে। যাত্রার মোট সময়কাল কত?,৮,Physics,Physics
13,একজন লোক প্রথম দিন এক টাকা জমায়। পরবর্তী দিন গুলুতে সে আগের দিনের দিগুন টাকা জমায়। এভাবে মাসের শেষ দিনে কত টাকা জমাতে পারবে? ,৫৩৬৮৭০৯১২,Math,Math
