Q No.,Premise,Hypothesis,Answer
418,"विक्टर के पास १५ कप मैदा, १६ कप चीनी और ८ कप दूध है","विक्टर के पास ७५ कप मैदा, १६ कप चीनी और ८ कप दूध है",contradiction
76,"श्रीनिवास सप्ताह के पहले दिन ४ से अधिक का एक सिक्का, सप्ताह के दूसरे दिन ५ के तीन सिक्के बचाते हैं। तीसरे दिन ५ के पाँच सिक्के इत्यादि","श्रीनिवास सप्ताह के पहले दिन ५ रुपये का एक सिक्का बचाते हैं, सप्ताह के दूसरे दिन ५ के तीन सिक्के। तीसरे दिन ५ के पाँच सिक्के इत्यादि",neutral
177,अल्बर्ट ने ब्रायन और चार्ली से कुल $६००० उधार लिए थे,अल्बर्ट ने ब्रायन और चार्ली से कुल $८००० उधार लिए थे,contradiction
31,लिटिल टेक्सास ड्रिलिंग कंपनी को १०० बैरल तेल का उत्पादन करने में कितने घंटे लगते हैं?,७०० बैरल तेल का उत्पादन करने में लिटिल टेक्सास ड्रिलिंग कंपनी को कितने घंटे लगते हैं?,contradiction
358,"जेक, पॉल और हरि मिलकर ८ दिनों में कुआँ खोदते हैं","जेक, पॉल और हरि मिलकर ७ दिनों से अधिक समय में कुआँ खोदते हैं",Entailment
348,रीता ६ दिनों से भी कम समय में एक जोड़ी मोज़े बुन सकती है,रीता ३ दिनों में एक जोड़ी मोज़े बुन सकती है,neutral
155,"तीसरे स्थान पर चल रही वैलेंसिया स्पोर्टिंग गिजोन के साथ १-१ से ड्रॉ करने के बाद ज़मीन गँवा बैठी, दूसरे हाफ में उसे जुआन माता से एक बराबरी के गोल की ज़रूरत पड़ी।",तीसरे स्थान पर चल रही वैलेंसिया स्पोर्टिंग गिजोन से १-१ से ड्रॉ करने के बाद ज़मीन गँवा बैठी,Entailment
154,सैली के बैंक में ७६०.० क्वार्टर थे और उसने अपने क्वार्टरों में से ४१८.० खर्च कर दिए,उसके पास अब ३४२.० क्वार्टर हैं,Entailment
415,किशोर ने अपने मासिक वेतन का १०% बचाया था,किशोर ने अपने मासिक वेतन के १०% से अधिक बचाया था,contradiction
158,वे उस पर २० दिन काम करते हैं और फिर राजेश उसे ३० दिनों में पूरा करता है,वे उस पर २० दिनों से अधिक समय तक काम करते हैं और फिर राजेश उसे ३० दिनों में पूरा करता है,contradiction
408,यह मोहन की पुरानी मर्सिडीज़ से १ गुना अधिक गति से जा सकती है,यह मोहन की पुरानी मर्सिडीज़ से ४ गुना गति से जा सकती है,neutral
71,सैली के पास ९.० नारंगी गुब्बारे और ४.० नीले गुब्बारे हैं और उसे २.० नारंगी गुब्बारे और मिले हैं,सैली के पास अब १३.० नारंगी गुब्बारे हैं,contradiction
196,"हेलसिंकी के पास एक व्यस्त शॉपिंग सेंटर में विस्फोट में मारे गए सात लोगों में से एक ने यह हमला किया, ऐसा संदेह है, पुलिस ने बताया।",एक विस्फोट के पीछे किशोर बम हमलावर मारे गए सात लोगों में से एक था।,neutral
330,"पत्र -- सीनेट के बहुमत नेता हैरी रीड, डी-नेवादा; अल्पसंख्यक नेता मिच मैककॉनेल, आर-केंटकी; न्यायिक समिति के अध्यक्ष पैट्रिक लेही, डी-वरमोंट; और अलबामा सीनेटर जेफ सेशंस, सीनेट न्यायिक समिति में रैंकिंग रिपब्लिकन को संबोधित -- उनके ४९ पूर्व लॉ क्लर्कों में से ४५ ने हस्ताक्षर किए थे।",सुप्रीम कोर्ट के नामित के ४९ पूर्व लॉ क्लर्कों में से ४५ द्वारा हस्ताक्षरित समर्थन।,neutral
40,एक जूते की दुकान एडिडास के जूते $६० प्रत्येक और प्यूमा जूते $५० प्रत्येक पर बेचती है,एक जूते की दुकान एडिडास जूते $१० प्रत्येक और प्यूमा जूते $५० प्रत्येक पर बेचती है,contradiction
142,"बयान में कहा गया है, एक्सप्लोरर ऑफ द सीज़ के ३,०५० यात्रियों में से २८१ और १,१६५ क्रू सदस्यों में से २२ उल्टी और डायरिया से पीड़ित हुए हैं।",एक्सप्लोरर ऑफ सीज़ पर २८१ यात्रियों और २२ क्रू सदस्यों ने गैस्ट्रोइंटेस्टाइनल समस्याओं की रिपोर्ट की,Entailment
269,"मार्टिन ने २० से कम कॉन्सर्ट टिकट खरीदे, कुछ $२.०० प्रति टिकट के पूरे मूल्य पर, और कुछ $१.६० प्रति टिकट के छूट वाले मूल्य पर","मार्टिन ने १० कॉन्सर्ट टिकट खरीदे, कुछ टिकट $२.०० के पूरे मूल्य पर, और कुछ $१.६० प्रति टिकट के छूट वाले मूल्य पर।",neutral
73,"अभियुक्तों में एमएस-१३ के १५८ सदस्य और सहयोगी हैं, अन्य १०५ पर दूसरे गैंगों से जुड़े होने का आरोप है।","गैंग स्वीप ने कुख्यात एमएस-१३ गैंग के १५८ सदस्यों और सहयोगियों को गिरफ्तार किया है, अन्य लोगों के बीच",Entailment
10,दस साल पहले कुणाल और सागर की आयु का अनुपात १२:८ था,पाँच साल पहले सागर और कुणाल की आयु का अनुपात ३:२ था,contradiction
276,जैक ८ फुट प्रति सेकंड से कम गति से क्रिस्टीना की ओर एक सीधी रेखा में चलता है और क्रिस्टीना ८ फुट प्रति सेकंड की गति से जैक की ओर एक सीधी रेखा में चलती है,जैक क्रिस्टीना की ओर एक सीधी रेखा में ७ फुट प्रति सेकंड की स्थिर गति से चलता है और क्रिस्टीना ८ फुट प्रति सेकंड की गति से जैक की ओर एक सीधी रेखा में चलती है,neutral
282,"पिछले साल क्लब के १२ सदस्यों ने इंग्लैंड और फ्रांस दोनों देशों की यात्रा की, ६ सदस्यों ने इंग्लैंड और इटली दोनों की यात्रा की और ० सदस्यों ने फ्रांस और इटली दोनों की यात्रा की","पिछले साल क्लब के १२ से कम सदस्यों ने इंग्लैंड और फ्रांस दोनों देशों की यात्रा की, ६ सदस्यों ने इंग्लैंड और इटली दोनों की यात्रा की और ० सदस्यों ने फ्रांस और इटली दोनों की यात्रा की",contradiction
256,"दूसरी, मेरी क्रिस्टीन चापा, १८, सिर में गोली लगने से स्थानीय अस्पताल में गंभीर स्थिति में थीं।","एक मारा गया है, दूसरे की स्थिति गंभीर है",neutral
185,मेरी अल्बर्ट से ८ साल छोटी है,मेरी अल्बर्ट से १ साल से अधिक छोटी है,Entailment
56,दोनों कोरिया के बीच तनाव शुरू होने के बाद यह बैठक किम और चीन के किसी शीर्ष अधिकारी के बीच पहली बैठक है।,तनाव के बाद दोनों देशों के बीच यह पहली बैठक है,Entailment
141,"`` जेफरसन '' हाई स्कूल की जीव विज्ञान लैब में ५.४ * १०^६ जीवाणु हैं, जो १०,८०० पेट्री डिशों में बराबर बँटे हैं","`` जेफरसन ' हाई स्कूल की जीव विज्ञान लैब में ५.४ * १०^६ से अधिक जीवाणु हैं, जो १०,८०० पेट्री डिशों में बराबर बँटे हैं",contradiction
194,"यदि योलांडा की चलने की दर ३ मील प्रति घंटा और बॉब की ४ मील प्रति घंटा हो, तो जब वे मिले तब तक बॉब कितने मील चला था?","यदि योलांडा की चलने की दर ३ मील प्रति घंटे से कम हो और बॉब की ४ मील प्रति घंटा हो, तो जब वे मिले तब तक बॉब कितने मील चला था?",contradiction
146,"एक दिन, रविराज घर से निकलकर २० किमी दक्षिण दिशा में साइकिल चलाते हैं, दाएँ मुड़ते हैं और १० किमी साइकिल चलाते हैं और दाएँ मुड़कर २० किमी साइकिल चलाते हैं और बाएँ मुड़कर २० किमी साइकिल चलाते हैं","एक दिन, रविराज घर से निकलकर ८० किमी दक्षिण दिशा में साइकिल चलाते हैं, दाएँ मुड़ते हैं और १० किमी साइकिल चलाते हैं और दाएँ मुड़कर २० किमी साइकिल चलाते हैं और बाएँ मुड़कर २० किमी साइकिल चलाते हैं",contradiction
385,"जिल, जो सिटी सी में रहती है, ने ५ अलग-अलग शहर, एम, एल, एस, एन और ओ देखने की योजना बनाई है","सिटी सी में रहने वाली जिल ने एम, एल, एस, एन, ओ यानी ६ से कम अलग-अलग शहर देखने की योजना बनाई है",Entailment
