Q No.,Premise,Hypothesis,Answer
418,"ভিক্টরের আছে ১৫ কাপ যদি ময়দা, ১৬ কাপ চিনি এবং ৮ কাপ দুধ","ভিক্টরের আছে ৭৫ কাপ যদি ময়দা, ১৬ কাপ চিনি এবং ৮ কাপ দুধ",contradiction
76,"শ্রীনিবাস সপ্তাহের প্রথম দিনে ৪-এর বেশি একটি কয়েন, সপ্তাহের দ্বিতীয় দিনে ৫-এর তিনটি কয়েন সংরক্ষণ করেন। তৃতীয় দিনে ৫ এর পাঁচটি মুদ্রা ইত্যাদি","শ্রীনিবাস প্রথম দিনে ৫ টাকার একটি কয়েন সংরক্ষণ করেন
সপ্তাহ, সপ্তাহের দ্বিতীয় দিনে ৫ এর তিনটি কয়েন।
তৃতীয় দিনে ৫ এর পাঁচটি মুদ্রা ইত্যাদি",neutral
177,অ্যালবার্ট ব্রায়ান এবং চার্লির কাছ থেকে মোট $৬০০০ ধার করেছিলেন,অ্যালবার্ট ব্রায়ান এবং চার্লির কাছ থেকে মোট $৮০০০ ধার করেছিলেন,contradiction
31,লিটল টেক্সাস ড্রিলিং কোম্পানির ১০০ ব্যারেল তেল উৎপাদন করতে কত ঘন্টা সময় লাগে?,৭০০ ব্যারেল তেল উৎপাদন করতে লিটল টেক্সাস ড্রিলিং কোম্পানির কত ঘন্টা সময় লাগে?,contradiction
358,"জেক, পল এবং হরি একসাথে ৮ দিনে কূপ খনন করে","জেক, পল এবং হরি একসাথে ৭ দিনেরও বেশি সময় ধরে কূপটি খনন করে",Entailment
348,রিতা ৬ দিনেরও কম সময়ে একজোড়া মোজা বুনতে পারে,রিতা ৩ দিনে এক জোড়া মোজা বুনতে পারে,neutral
155,"তৃতীয় স্থানে থাকা ভ্যালেন্সিয়া স্পোর্টিং গিজনের সাথে ১-১ গোলে ড্র করার পর মাঠ হারিয়েছে, দ্বিতীয়ার্ধে জুয়ান মাতার কাছ থেকে একটি সমতা প্রয়োজন।",তৃতীয় স্থানে থাকা ভ্যালেন্সিয়া স্পোর্টিং গিজনের কাছে ১-১ গোলে ড্র করার পর মাঠ হারিয়েছে,Entailment
154,স্যালির ব্যাঙ্কে ৭৬০.০ কোয়ার্টার ছিল এবং সে তার কোয়ার্টারগুলির ৪১৮.০ খরচ করেছে,তার এখন ৩৪২.০ কোয়ার্টার আছে,Entailment
415,কিশোর তার মাসিক বেতনের ১০% সঞ্চয় করেছিল,কিশোর তার মাসিক বেতনের ১০% এর বেশি সঞ্চয় করেছিল,contradiction
158,তিনি এটিতে ২০ দিন কাজ করেন এবং তারপর রাজেশ ৩০ দিনের মধ্যে এটি শেষ করেন,তিনি এটিতে ২০ দিনেরও বেশি সময় ধরে কাজ করেন এবং তারপর রাজেশ ৩০ দিনের মধ্যে এটি শেষ করেন,contradiction
408,এটি মোহনের পুরানো মার্সিডিজের চেয়ে ১ গুণ বেশি গতিতে যেতে পারে,এটি মোহনের পুরানো মার্সিডিজের চেয়ে ৪ গুণ গতিতে যেতে পারে,neutral
71,স্যালির ৯.০টি কমলা বেলুন এবং ৪.০টি নীল বেলুন রয়েছে এবং তিনি আরও ২.০টি কমলা বেলুন খুঁজে পেয়েছেন,স্যালি এখন ১৩.০ কমলা বেলুন আছে,contradiction
196,"হেলসিঙ্কির কাছে একটি ব্যস্ত শপিং সেন্টারে বিস্ফোরণে নিহত সাতজনের মধ্যে একজন এই হামলা চালিয়েছে বলে সন্দেহ করা হচ্ছে, পুলিশ জানিয়েছে।",একটি বিস্ফোরণের পিছনে কিশোর বোমা হামলাকারী সাতজন নিহতদের একজন ছিল।,neutral
330,"চিঠিটি -- সেনেটের সংখ্যাগরিষ্ঠ নেতা হ্যারি রিড, ডি-নেভাদাকে উদ্দেশ্য করে; সংখ্যালঘু নেতা মিচ ম্যাককনেল, আর-কেনটাকি; বিচার বিভাগীয় কমিটির চেয়ারম্যান প্যাট্রিক লেহি, ডি-ভারমন্ট; এবং আলাবামা সেন জেফ সেশনস, সেনেট জুডিশিয়ারি কমিটিতে র‌্যাঙ্কিং রিপাবলিকান -- তার ৪৯ জন প্রাক্তন আইন ক্লার্কের মধ্যে ৪৫ জন স্বাক্ষর করেছিলেন।",সুপ্রিম কোর্টের মনোনীত ৪৯ জন প্রাক্তন আইন ক্লার্কের মধ্যে ৪৫ জন দ্বারা স্বাক্ষরিত অনুমোদন৷,neutral
40,একটি জুতার দোকানে অ্যাডিডাসের জুতা প্রতিটি $৬০ এবং পুমা জুতা $৫০ প্রতিটিতে বিক্রি করে,একটি জুতার দোকানে অ্যাডিডাস জুতা প্রতিটি $১০ এবং পুমা জুতা $৫০ প্রতিটিতে বিক্রি করে,contradiction
142,"বিবৃতিতে বলা হয়েছে, এক্সপ্লোরার অফ দ্য সিজের ৩,০৫০ জন যাত্রীর মধ্যে ২৮১ জন এবং ১,১৬৫ জন ক্রু সদস্যের মধ্যে ২২ জন বমি ও ডায়রিয়ায় আক্রান্ত হয়েছেন।",এক্সপ্লোরার অফ সিস-এ ২৮১ যাত্রী এবং ২২ জন ক্রু গ্যাস্ট্রোইনটেস্টাইনাল সমস্যার রিপোর্ট করেন,Entailment
269,"মার্টিন ২০টিরও কম কনসার্টের টিকিট কিনেছেন, কিছু প্রতি টিকিটের সম্পূর্ণ মূল্যে $২.০০, এবং কিছু প্রতি টিকিটে $১.৬০ মূল্য ছাড়ে","মার্টিন ১০টি কনসার্টের টিকিট কিনেছেন, কিছু টিকিট প্রতি $২.০০ এর সম্পূর্ণ মূল্যে, এবং কিছু প্রতি টিকিটে $১.৬০ মূল্যে ছাড় দিয়েছেন।",neutral
73,"অভিযুক্তদের মধ্যে এমএস-১৩-এর ১৫৮ জন সদস্য এবং সহযোগী রয়েছে, অন্য ১০৫ জন অন্য গ্যাংয়ের সাথে জড়িত বলে অভিযোগ রয়েছে।","গ্যাং সুইপ কুখ্যাত এমএস-১৩ গ্যাং এর ১৫৮ সদস্য ও সহযোগীদের গ্রেফতার করেছে, অন্যদের মধ্যে",Entailment
10,দশ বছর আগে কুণাল ও সাগরের বয়সের অনুপাত ছিল ১২:৮,পাঁচ বছর আগে সাগর ও কুণালের  বয়সের অনুপাত ছিল ৩:২,contradiction
276,জ্যাক প্রতি সেকেন্ডে ৮ ফুটের কম গতিতে ক্রিস্টিনার দিকে একটি সরল রেখায় হাঁটেন এবং ক্রিস্টিনা প্রতি সেকেন্ডে ৮ ফুট গতিতে জ্যাকের দিকে একটি সরল রেখায় হাঁটেন,জ্যাক ক্রিস্টিনার দিকে একটি সরল রেখায় ৭ ফুট প্রতি সেকেন্ডে ধ্রুবক গতিতে হাঁটেন এবং ক্রিস্টিনা প্রতি সেকেন্ডে ৮ ফুট গতিতে জ্যাকের দিকে একটি সরল রেখায় হাঁটেন,neutral
282,"গত বছর ক্লাবের ১২ জন সদস্য ইংল্যান্ড এবং ফ্রান্স উভয় দেশে ভ্রমণ করেছিলেন, ৬ সদস্য ইংল্যান্ড এবং ইতালি উভয় দেশে ভ্রমণ করেছিলেন এবং ০ সদস্য ফ্রান্স এবং ইতালি উভয় দেশে ভ্রমণ করেছিলেন","গত বছর ক্লাবের ১২ জনেরও কম সদস্য ইংল্যান্ড এবং ফ্রান্স উভয় দেশে ভ্রমণ করেছিলেন, ৬ সদস্য ইংল্যান্ড এবং ইতালি উভয়ই ভ্রমণ করেছিলেন এবং ০ সদস্য ফ্রান্স এবং ইতালি উভয়ই ভ্রমণ করেছিলেন",contradiction
256,"দ্বিতীয়, মেরি ক্রিস্টিন চ্যাপা, ১৮, মাথায় গুলির আঘাতে স্থানীয় হাসপাতালে গুরুতর অবস্থায় ছিলেন।","একজন নিহত হয়েছেন, অপরজনের অবস্থা আশঙ্কাজনক",neutral
185,মেরি অ্যালবার্টের চেয়ে ৮ বছরের ছোট,মেরি অ্যালবার্টের চেয়ে ১ বছরেরও বেশি ছোট,Entailment
56,দুই কোরিয়ার মধ্যে উত্তেজনা শুরু হওয়ার পর এই বৈঠকটি কিম ও চীনের কোনো শীর্ষ কর্মকর্তার মধ্যে প্রথম বৈঠক।,উত্তেজনার পর দুই দেশের মধ্যে এই প্রথম বৈঠক,Entailment
141,"`` জেফারসন '' হাই স্কুলের জীববিজ্ঞান ল্যাবে ৫.৪ * ১০^৬ জীবাণু আছে, ১০,৮০০টি পেট্রি ডিশের মধ্যে সমানভাবে বিভক্ত","`` জেফারসন ' হাই স্কুলের জীববিজ্ঞান ল্যাবে ৫.৪ * ১০^৬ এর বেশি জীবাণু রয়েছে, ১০,৮০০টি পেট্রি ডিশের মধ্যে সমানভাবে বিভক্ত",contradiction
194,"যদি ইয়োলান্ডার হাঁটার হার ঘণ্টায় ৩ মাইল এবং ববের প্রতি ঘণ্টায় ৪ মাইল হয়, তাহলে বব কত মাইল হেঁটেছিল যখন তারা দেখা করেছিল?","যদি ইয়োলান্ডার হাঁটার হার ঘণ্টায় ৩ মাইলের কম হয় এবং ববটি প্রতি ঘন্টায় ৪ মাইল হয়, তাহলে বব কত মাইল হেঁটেছিল যখন তারা দেখা করেছিল?",contradiction
